component_id,brand,component_type,price_min,price_max,type,capacity_ah,voltage,derating_factor,max_voltage_V,max_current_A,rated_power_w,voltage_input,voltage_output,mode,panel_type,cabling_loss,safety_factor,area_m2
Amaron Quanta_48V_50Ah_2681,Amaron Quanta,batteries_synth,304239.0,507065.0,AGM,50.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_100Ah_2706,Amaron Quanta,batteries_synth,572493.0,954155.0,AGM,100.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_24V_200Ah_2775,Amaron Quanta,batteries_synth,514114.0,856858.0,AGM,200.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_24V_190Ah_2852,Amaron Quanta,batteries_synth,365001.0,608335.0,AGM,190.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_210Ah_2939,Amaron Quanta,batteries_synth,650369.0,1083949.0,AGM,210.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_110Ah_2954,Amaron Quanta,batteries_synth,506842.0,844738.0,AGM,110.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_12V_300Ah_3125,Amaron Quanta,batteries_synth,313269.0,522115.0,AGM,300.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_12V_230Ah_3352,Amaron Quanta,batteries_synth,378896.0,631492.0,AGM,230.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_170Ah_3531,Amaron Quanta,batteries_synth,555332.0,925552.0,AGM,170.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_12V_190Ah_3672,Amaron Quanta,batteries_synth,504593.0,840989.0,AGM,190.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_24V_260Ah_3748,Amaron Quanta,batteries_synth,574726.0,957878.0,AGM,260.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_20Ah_3947,Amaron Quanta,batteries_synth,639593.0,1065989.0,AGM,20.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_130Ah_4315,Amaron Quanta,batteries_synth,521190.0,868650.0,AGM,130.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_48V_260Ah_4484,Amaron Quanta,batteries_synth,533693.0,889489.0,AGM,260.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_40Ah_4578,Amaron Quanta,batteries_synth,438622.0,731036.0,AGM,40.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_24V_90Ah_4662,Amaron Quanta,batteries_synth,474391.0,790651.0,AGM,90.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_280Ah_4724,Amaron Quanta,batteries_synth,600109.0,1000181.0,AGM,280.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_170Ah_4806,Amaron Quanta,batteries_synth,408848.0,681414.0,AGM,170.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_280Ah_4827,Amaron Quanta,batteries_synth,582478.0,970796.0,AGM,280.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_140Ah_4998,Amaron Quanta,batteries_synth,408146.0,680242.0,AGM,140.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_270Ah_28,Amaron Quanta,batteries_synth,347801.0,579669.0,Gel,270.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_48V_150Ah_72,Amaron Quanta,batteries_synth,606574.0,1010958.0,Gel,150.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_40Ah_93,Amaron Quanta,batteries_synth,612318.0,1020530.0,Gel,40.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_110Ah_157,Amaron Quanta,batteries_synth,567882.0,946470.0,Gel,110.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_170Ah_200,Amaron Quanta,batteries_synth,549531.0,915885.0,Gel,170.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_250Ah_300,Amaron Quanta,batteries_synth,637809.0,1063015.0,Gel,250.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_20Ah_417,Amaron Quanta,batteries_synth,457075.0,761791.0,Gel,20.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_200Ah_551,Amaron Quanta,batteries_synth,356682.0,594470.0,Gel,200.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_170Ah_601,Amaron Quanta,batteries_synth,411430.0,685716.0,Gel,170.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_50Ah_655,Amaron Quanta,batteries_synth,593467.0,989111.0,Gel,50.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_140Ah_761,Amaron Quanta,batteries_synth,372584.0,620972.0,Gel,140.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_100Ah_982,Amaron Quanta,batteries_synth,401291.0,668819.0,Gel,100.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_20Ah_1121,Amaron Quanta,batteries_synth,603416.0,1005694.0,Gel,20.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_48V_70Ah_1143,Amaron Quanta,batteries_synth,521061.0,868435.0,Gel,70.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_24V_40Ah_1178,Amaron Quanta,batteries_synth,656845.0,1094741.0,Gel,40.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_110Ah_1251,Amaron Quanta,batteries_synth,669755.0,1116259.0,Gel,110.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_60Ah_1301,Amaron Quanta,batteries_synth,316329.0,527215.0,Gel,60.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_12V_170Ah_1335,Amaron Quanta,batteries_synth,544727.0,907879.0,Gel,170.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_100Ah_1377,Amaron Quanta,batteries_synth,375222.0,625370.0,Gel,100.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_240Ah_1502,Amaron Quanta,batteries_synth,668646.0,1114410.0,Gel,240.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_110Ah_1507,Amaron Quanta,batteries_synth,485685.0,809475.0,Gel,110.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_12V_90Ah_1724,Amaron Quanta,batteries_synth,548500.0,914166.0,Gel,90.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_24V_50Ah_1950,Amaron Quanta,batteries_synth,532825.0,888041.0,Gel,50.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_24V_290Ah_2205,Amaron Quanta,batteries_synth,513021.0,855035.0,Gel,290.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_24V_100Ah_2302,Amaron Quanta,batteries_synth,353931.0,589885.0,Gel,100.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_140Ah_2337,Amaron Quanta,batteries_synth,430156.0,716928.0,Gel,140.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_24V_270Ah_2649,Amaron Quanta,batteries_synth,394556.0,657594.0,Gel,270.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_190Ah_2765,Amaron Quanta,batteries_synth,344281.0,573801.0,Gel,190.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_100Ah_2797,Amaron Quanta,batteries_synth,525834.0,876390.0,Gel,100.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_230Ah_2844,Amaron Quanta,batteries_synth,392234.0,653722.0,Gel,230.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_180Ah_2897,Amaron Quanta,batteries_synth,551132.0,918554.0,Gel,180.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_110Ah_2966,Amaron Quanta,batteries_synth,490654.0,817758.0,Gel,110.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_120Ah_3242,Amaron Quanta,batteries_synth,390791.0,651319.0,Gel,120.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_280Ah_3428,Amaron Quanta,batteries_synth,461478.0,769130.0,Gel,280.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_48V_50Ah_3481,Amaron Quanta,batteries_synth,588336.0,980560.0,Gel,50.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_240Ah_3635,Amaron Quanta,batteries_synth,665463.0,1109105.0,Gel,240.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_48V_210Ah_3872,Amaron Quanta,batteries_synth,306584.0,510972.0,Gel,210.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_12V_270Ah_3890,Amaron Quanta,batteries_synth,645917.0,1076529.0,Gel,270.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_12V_60Ah_4053,Amaron Quanta,batteries_synth,431362.0,718938.0,Gel,60.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_48V_50Ah_4114,Amaron Quanta,batteries_synth,535954.0,893256.0,Gel,50.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_80Ah_4162,Amaron Quanta,batteries_synth,321203.0,535339.0,Gel,80.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_170Ah_4209,Amaron Quanta,batteries_synth,367721.0,612869.0,Gel,170.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_12V_300Ah_4298,Amaron Quanta,batteries_synth,607674.0,1012790.0,Gel,300.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_250Ah_4499,Amaron Quanta,batteries_synth,624428.0,1040712.0,Gel,250.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_24V_70Ah_4907,Amaron Quanta,batteries_synth,456244.0,760406.0,Gel,70.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_12V_70Ah_4921,Amaron Quanta,batteries_synth,434888.0,724812.0,Gel,70.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_48V_160Ah_100,Amaron Quanta,batteries_synth,388916.0,648194.0,LiFePO4,160.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_90Ah_110,Amaron Quanta,batteries_synth,346149.0,576915.0,LiFePO4,90.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_210Ah_182,Amaron Quanta,batteries_synth,601666.0,1002778.0,LiFePO4,210.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_210Ah_199,Amaron Quanta,batteries_synth,314034.0,523390.0,LiFePO4,210.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_60Ah_260,Amaron Quanta,batteries_synth,500213.0,833689.0,LiFePO4,60.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_180Ah_301,Amaron Quanta,batteries_synth,393838.0,656396.0,LiFePO4,180.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_70Ah_351,Amaron Quanta,batteries_synth,671574.0,1119290.0,LiFePO4,70.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_240Ah_397,Amaron Quanta,batteries_synth,474133.0,790221.0,LiFePO4,240.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_220Ah_478,Amaron Quanta,batteries_synth,332262.0,553770.0,LiFePO4,220.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_290Ah_540,Amaron Quanta,batteries_synth,430810.0,718016.0,LiFePO4,290.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_60Ah_694,Amaron Quanta,batteries_synth,611995.0,1019991.0,LiFePO4,60.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_110Ah_767,Amaron Quanta,batteries_synth,584033.0,973389.0,LiFePO4,110.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_300Ah_791,Amaron Quanta,batteries_synth,501886.0,836478.0,LiFePO4,300.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_270Ah_993,Amaron Quanta,batteries_synth,312830.0,521384.0,LiFePO4,270.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_110Ah_1066,Amaron Quanta,batteries_synth,403561.0,672601.0,LiFePO4,110.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_48V_50Ah_1091,Amaron Quanta,batteries_synth,610283.0,1017139.0,LiFePO4,50.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_48V_210Ah_1238,Amaron Quanta,batteries_synth,602880.0,1004800.0,LiFePO4,210.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_300Ah_1385,Amaron Quanta,batteries_synth,461889.0,769815.0,LiFePO4,300.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_130Ah_1390,Amaron Quanta,batteries_synth,386965.0,644941.0,LiFePO4,130.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_290Ah_1469,Amaron Quanta,batteries_synth,584531.0,974219.0,LiFePO4,290.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_24V_200Ah_1662,Amaron Quanta,batteries_synth,645298.0,1075496.0,LiFePO4,200.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_48V_40Ah_1708,Amaron Quanta,batteries_synth,405301.0,675501.0,LiFePO4,40.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_250Ah_1730,Amaron Quanta,batteries_synth,427844.0,713074.0,LiFePO4,250.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_300Ah_1782,Amaron Quanta,batteries_synth,444755.0,741259.0,LiFePO4,300.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_24V_140Ah_1901,Amaron Quanta,batteries_synth,590111.0,983519.0,LiFePO4,140.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_120Ah_2264,Amaron Quanta,batteries_synth,581906.0,969844.0,LiFePO4,120.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_90Ah_2270,Amaron Quanta,batteries_synth,367846.0,613078.0,LiFePO4,90.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_220Ah_2351,Amaron Quanta,batteries_synth,521273.0,868789.0,LiFePO4,220.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_280Ah_2385,Amaron Quanta,batteries_synth,392186.0,653644.0,LiFePO4,280.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_30Ah_2527,Amaron Quanta,batteries_synth,442530.0,737550.0,LiFePO4,30.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_100Ah_2688,Amaron Quanta,batteries_synth,439613.0,732689.0,LiFePO4,100.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_300Ah_3058,Amaron Quanta,batteries_synth,302030.0,503384.0,LiFePO4,300.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_24V_230Ah_3099,Amaron Quanta,batteries_synth,564881.0,941469.0,LiFePO4,230.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_48V_280Ah_3183,Amaron Quanta,batteries_synth,342765.0,571275.0,LiFePO4,280.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_140Ah_3236,Amaron Quanta,batteries_synth,674016.0,1123360.0,LiFePO4,140.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_24V_240Ah_3884,Amaron Quanta,batteries_synth,539954.0,899924.0,LiFePO4,240.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_24V_40Ah_3930,Amaron Quanta,batteries_synth,609899.0,1016499.0,LiFePO4,40.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_50Ah_4264,Amaron Quanta,batteries_synth,301697.0,502829.0,LiFePO4,50.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_170Ah_4319,Amaron Quanta,batteries_synth,355082.0,591804.0,LiFePO4,170.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_48V_110Ah_4332,Amaron Quanta,batteries_synth,536849.0,894749.0,LiFePO4,110.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_200Ah_4631,Amaron Quanta,batteries_synth,607899.0,1013165.0,LiFePO4,200.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_12V_210Ah_4908,Amaron Quanta,batteries_synth,395744.0,659572.0,LiFePO4,210.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_300Ah_4964,Amaron Quanta,batteries_synth,315081.0,525135.0,LiFePO4,300.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_100Ah_4986,Amaron Quanta,batteries_synth,586429.0,977381.0,LiFePO4,100.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_60Ah_7,Amaron Quanta,batteries_synth,583107.0,971845.0,Tubular,60.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_60Ah_47,Amaron Quanta,batteries_synth,489226.0,815378.0,Tubular,60.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_20Ah_98,Amaron Quanta,batteries_synth,600845.0,1001409.0,Tubular,20.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_240Ah_104,Amaron Quanta,batteries_synth,651868.0,1086446.0,Tubular,240.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_230Ah_140,Amaron Quanta,batteries_synth,339778.0,566298.0,Tubular,230.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_40Ah_147,Amaron Quanta,batteries_synth,376740.0,627900.0,Tubular,40.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_190Ah_308,Amaron Quanta,batteries_synth,341308.0,568846.0,Tubular,190.0,24.0,0.85,,,,,,,,,,
Amaron Quanta_24V_100Ah_357,Amaron Quanta,batteries_synth,471458.0,785764.0,Tubular,100.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_290Ah_498,Amaron Quanta,batteries_synth,571067.0,951779.0,Tubular,290.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_220Ah_604,Amaron Quanta,batteries_synth,640071.0,1066785.0,Tubular,220.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_270Ah_811,Amaron Quanta,batteries_synth,317372.0,528954.0,Tubular,270.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_210Ah_1222,Amaron Quanta,batteries_synth,572174.0,953624.0,Tubular,210.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_24V_240Ah_1455,Amaron Quanta,batteries_synth,488330.0,813882.0,Tubular,240.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_230Ah_1533,Amaron Quanta,batteries_synth,350777.0,584629.0,Tubular,230.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_140Ah_1547,Amaron Quanta,batteries_synth,674328.0,1123880.0,Tubular,140.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_50Ah_1768,Amaron Quanta,batteries_synth,333303.0,555505.0,Tubular,50.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_110Ah_1909,Amaron Quanta,batteries_synth,543853.0,906421.0,Tubular,110.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_280Ah_2043,Amaron Quanta,batteries_synth,588631.0,981051.0,Tubular,280.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_180Ah_2096,Amaron Quanta,batteries_synth,654327.0,1090545.0,Tubular,180.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_12V_80Ah_2181,Amaron Quanta,batteries_synth,458539.0,764231.0,Tubular,80.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_12V_130Ah_2341,Amaron Quanta,batteries_synth,472334.0,787222.0,Tubular,130.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_30Ah_2354,Amaron Quanta,batteries_synth,579196.0,965328.0,Tubular,30.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_280Ah_2374,Amaron Quanta,batteries_synth,339406.0,565676.0,Tubular,280.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_12V_300Ah_2433,Amaron Quanta,batteries_synth,511761.0,852935.0,Tubular,300.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_12V_60Ah_2476,Amaron Quanta,batteries_synth,399310.0,665516.0,Tubular,60.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_110Ah_2537,Amaron Quanta,batteries_synth,655030.0,1091718.0,Tubular,110.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_40Ah_2710,Amaron Quanta,batteries_synth,388062.0,646770.0,Tubular,40.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_230Ah_2750,Amaron Quanta,batteries_synth,573732.0,956220.0,Tubular,230.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_60Ah_2888,Amaron Quanta,batteries_synth,673039.0,1121731.0,Tubular,60.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_160Ah_2928,Amaron Quanta,batteries_synth,623181.0,1038635.0,Tubular,160.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_120Ah_3023,Amaron Quanta,batteries_synth,396294.0,660490.0,Tubular,120.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_80Ah_3057,Amaron Quanta,batteries_synth,472801.0,788001.0,Tubular,80.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_290Ah_3130,Amaron Quanta,batteries_synth,613553.0,1022589.0,Tubular,290.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_24V_90Ah_3251,Amaron Quanta,batteries_synth,472986.0,788310.0,Tubular,90.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_12V_90Ah_3254,Amaron Quanta,batteries_synth,389297.0,648829.0,Tubular,90.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_80Ah_3343,Amaron Quanta,batteries_synth,385045.0,641741.0,Tubular,80.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_48V_80Ah_3451,Amaron Quanta,batteries_synth,450073.0,750121.0,Tubular,80.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_20Ah_3560,Amaron Quanta,batteries_synth,591758.0,986264.0,Tubular,20.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_48V_180Ah_3638,Amaron Quanta,batteries_synth,445334.0,742222.0,Tubular,180.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_12V_60Ah_3661,Amaron Quanta,batteries_synth,397194.0,661990.0,Tubular,60.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_48V_210Ah_3717,Amaron Quanta,batteries_synth,624367.0,1040611.0,Tubular,210.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_100Ah_3799,Amaron Quanta,batteries_synth,549940.0,916566.0,Tubular,100.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_260Ah_3846,Amaron Quanta,batteries_synth,310502.0,517504.0,Tubular,260.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_24V_210Ah_3953,Amaron Quanta,batteries_synth,359862.0,599770.0,Tubular,210.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_12V_290Ah_3963,Amaron Quanta,batteries_synth,668636.0,1114392.0,Tubular,290.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_170Ah_4269,Amaron Quanta,batteries_synth,537728.0,896212.0,Tubular,170.0,48.0,0.83,,,,,,,,,,
