inverter_id,brand,rated_power_w,voltage_input,voltage_output,mode,derating_factor,price_min,price_max
Blue Gate_15500W_1225,Blue Gate,15500.0,240.0,220.0,Battery-Based,0.91,500359.0,833931.0
Blue Gate_14200W_1262,Blue Gate,14200.0,96.0,220.0,Battery-Based,0.9,609134.0,1015224.0
Blue Gate_6900W_1268,Blue Gate,6900.0,24.0,220.0,Battery-Based,0.9,220124.0,366874.0
Blue Gate_7050W_1377,Blue Gate,7050.0,48.0,220.0,Battery-Based,0.88,283928.0,473212.0
Blue Gate_18250W_1382,Blue Gate,18250.0,48.0,220.0,Battery-Based,0.91,630673.0,1051121.0
Blue Gate_18350W_1454,Blue Gate,18350.0,12.0,220.0,Battery-Based,0.91,454390.0,757316.0
Blue Gate_4200W_1562,Blue Gate,4200.0,24.0,220.0,Battery-Based,0.87,130186.0,216976.0
Blue Gate_11050W_1592,Blue Gate,11050.0,96.0,220.0,Battery-Based,0.88,270272.0,450452.0
Blue Gate_6250W_1615,Blue Gate,6250.0,240.0,220.0,Battery-Based,0.9,157108.0,261846.0
Blue Gate_10900W_1648,Blue Gate,10900.0,96.0,220.0,Battery-Based,0.91,428348.0,713914.0
Blue Gate_13900W_1680,Blue Gate,13900.0,12.0,220.0,Battery-Based,0.89,604617.0,1007695.0
Blue Gate_7350W_1722,Blue Gate,7350.0,240.0,220.0,Battery-Based,0.88,192468.0,320780.0
Blue Gate_18700W_1757,Blue Gate,18700.0,96.0,220.0,Battery-Based,0.88,713350.0,1188918.0
Blue Gate_15950W_1792,Blue Gate,15950.0,24.0,220.0,Battery-Based,0.88,638713.0,1064521.0
Blue Gate_2000W_1955,Blue Gate,2000.0,96.0,220.0,Battery-Based,0.88,58305.0,97175.0
Blue Gate_17850W_2049,Blue Gate,17850.0,12.0,220.0,Battery-Based,0.89,508984.0,848306.0
Blue Gate_13550W_2133,Blue Gate,13550.0,48.0,220.0,Battery-Based,0.9,462062.0,770104.0
Blue Gate_13950W_2143,Blue Gate,13950.0,240.0,220.0,Battery-Based,0.89,621576.0,1035960.0
Blue Gate_17200W_2161,Blue Gate,17200.0,240.0,220.0,Battery-Based,0.88,435280.0,725466.0
Blue Gate_1800W_2336,Blue Gate,1800.0,240.0,220.0,Battery-Based,0.88,44584.0,74306.0
Blue Gate_4300W_2350,Blue Gate,4300.0,48.0,220.0,Battery-Based,0.89,150902.0,251502.0
Blue Gate_9650W_2429,Blue Gate,9650.0,96.0,220.0,Battery-Based,0.91,302545.0,504241.0
Blue Gate_5150W_2447,Blue Gate,5150.0,12.0,220.0,Battery-Based,0.9,178187.0,296979.0
Blue Gate_18250W_2541,Blue Gate,18250.0,240.0,220.0,Battery-Based,0.87,421214.0,702022.0
Blue Gate_7150W_2665,Blue Gate,7150.0,12.0,220.0,Battery-Based,0.91,298132.0,496888.0
Blue Gate_6350W_2744,Blue Gate,6350.0,240.0,220.0,Battery-Based,0.89,285189.0,475315.0
Blue Gate_14050W_2823,Blue Gate,14050.0,96.0,220.0,Battery-Based,0.91,484066.0,806778.0
Blue Gate_10050W_2867,Blue Gate,10050.0,24.0,220.0,Battery-Based,0.9,360635.0,601059.0
Blue Gate_5550W_2922,Blue Gate,5550.0,240.0,220.0,Battery-Based,0.92,185260.0,308766.0
Blue Gate_16500W_2961,Blue Gate,16500.0,12.0,220.0,Battery-Based,0.9,701875.0,1169791.0
Blue Gate_16500W_3045,Blue Gate,16500.0,24.0,220.0,Battery-Based,0.88,493222.0,822038.0
Blue Gate_2100W_3069,Blue Gate,2100.0,240.0,220.0,Battery-Based,0.9,49250.0,82082.0
Blue Gate_16800W_3073,Blue Gate,16800.0,12.0,220.0,Battery-Based,0.88,467703.0,779505.0
Blue Gate_2950W_3101,Blue Gate,2950.0,48.0,220.0,Battery-Based,0.88,68223.0,113705.0
Blue Gate_8650W_3171,Blue Gate,8650.0,48.0,220.0,Battery-Based,0.9,279875.0,466459.0
Blue Gate_17450W_3200,Blue Gate,17450.0,96.0,220.0,Battery-Based,0.88,511804.0,853006.0
Blue Gate_1900W_3236,Blue Gate,1900.0,12.0,220.0,Battery-Based,0.9,54307.0,90511.0
Blue Gate_7500W_3245,Blue Gate,7500.0,12.0,220.0,Battery-Based,0.9,222563.0,370939.0
Blue Gate_11350W_3299,Blue Gate,11350.0,240.0,220.0,Battery-Based,0.87,353976.0,589960.0
Blue Gate_14250W_3469,Blue Gate,14250.0,48.0,220.0,Battery-Based,0.92,575212.0,958688.0
Blue Gate_17850W_3503,Blue Gate,17850.0,24.0,220.0,Battery-Based,0.9,444680.0,741134.0
Blue Gate_4050W_3529,Blue Gate,4050.0,96.0,220.0,Battery-Based,0.89,100584.0,167640.0
Blue Gate_12650W_3550,Blue Gate,12650.0,24.0,220.0,Battery-Based,0.92,349264.0,582106.0
Blue Gate_15850W_3562,Blue Gate,15850.0,96.0,220.0,Battery-Based,0.88,640822.0,1068036.0
Blue Gate_7100W_3574,Blue Gate,7100.0,240.0,220.0,Battery-Based,0.91,252068.0,420112.0
Blue Gate_18950W_3599,Blue Gate,18950.0,240.0,220.0,Battery-Based,0.87,615038.0,1025064.0
Blue Gate_10050W_3643,Blue Gate,10050.0,48.0,220.0,Battery-Based,0.92,239041.0,398401.0
Blue Gate_17650W_3753,Blue Gate,17650.0,48.0,220.0,Battery-Based,0.9,493537.0,822561.0
Blue Gate_16400W_3776,Blue Gate,16400.0,12.0,220.0,Battery-Based,0.9,440032.0,733386.0
Blue Gate_15950W_3782,Blue Gate,15950.0,240.0,220.0,Battery-Based,0.87,372146.0,620242.0
Blue Gate_8250W_3800,Blue Gate,8250.0,240.0,220.0,Battery-Based,0.89,266342.0,443904.0
Blue Gate_14200W_3802,Blue Gate,14200.0,12.0,220.0,Battery-Based,0.91,525460.0,875768.0
Blue Gate_1700W_3857,Blue Gate,1700.0,240.0,220.0,Battery-Based,0.89,74189.0,123649.0
Blue Gate_7400W_3910,Blue Gate,7400.0,240.0,220.0,Battery-Based,0.89,327806.0,546342.0
Blue Gate_10900W_3927,Blue Gate,10900.0,24.0,220.0,Battery-Based,0.88,397715.0,662859.0
Blue Gate_19200W_3955,Blue Gate,19200.0,48.0,220.0,Battery-Based,0.88,474262.0,790436.0
Blue Gate_5950W_4014,Blue Gate,5950.0,24.0,220.0,Battery-Based,0.9,216776.0,361294.0
Blue Gate_10050W_4033,Blue Gate,10050.0,96.0,220.0,Battery-Based,0.89,243858.0,406430.0
Blue Gate_14400W_4056,Blue Gate,14400.0,240.0,220.0,Battery-Based,0.89,334349.0,557249.0
Blue Gate_9950W_4057,Blue Gate,9950.0,48.0,220.0,Battery-Based,0.89,367582.0,612636.0
Blue Gate_19800W_4069,Blue Gate,19800.0,240.0,220.0,Battery-Based,0.88,686342.0,1143904.0
Blue Gate_11600W_4093,Blue Gate,11600.0,48.0,220.0,Battery-Based,0.9,391408.0,652348.0
Blue Gate_14500W_4110,Blue Gate,14500.0,24.0,220.0,Battery-Based,0.88,441108.0,735180.0
Blue Gate_5600W_4116,Blue Gate,5600.0,96.0,220.0,Battery-Based,0.89,235155.0,391925.0
Blue Gate_6050W_4118,Blue Gate,6050.0,48.0,220.0,Battery-Based,0.9,164026.0,273376.0
Blue Gate_13700W_4131,Blue Gate,13700.0,12.0,220.0,Battery-Based,0.91,592748.0,987912.0
Blue Gate_8200W_4163,Blue Gate,8200.0,48.0,220.0,Battery-Based,0.9,319474.0,532458.0
Blue Gate_16350W_4270,Blue Gate,16350.0,12.0,220.0,Battery-Based,0.9,706568.0,1177614.0
Blue Gate_1000W_4327,Blue Gate,1000.0,12.0,220.0,Battery-Based,0.89,29387.0,48979.0
Blue Gate_8600W_4512,Blue Gate,8600.0,48.0,220.0,Battery-Based,0.89,202591.0,337651.0
Blue Gate_5500W_4516,Blue Gate,5500.0,24.0,220.0,Battery-Based,0.87,165513.0,275855.0
Blue Gate_5700W_4547,Blue Gate,5700.0,48.0,220.0,Battery-Based,0.87,145549.0,242581.0
Blue Gate_10600W_4548,Blue Gate,10600.0,48.0,220.0,Battery-Based,0.89,395968.0,659948.0
Blue Gate_6700W_4573,Blue Gate,6700.0,12.0,220.0,Battery-Based,0.9,226712.0,377852.0
Blue Gate_6750W_4606,Blue Gate,6750.0,240.0,220.0,Battery-Based,0.9,229180.0,381966.0
Blue Gate_5150W_4699,Blue Gate,5150.0,96.0,220.0,Battery-Based,0.92,194827.0,324711.0
Blue Gate_14400W_4707,Blue Gate,14400.0,12.0,220.0,Battery-Based,0.9,583448.0,972414.0
Blue Gate_4100W_4789,Blue Gate,4100.0,48.0,220.0,Battery-Based,0.87,184179.0,306965.0
Blue Gate_12200W_4812,Blue Gate,12200.0,96.0,220.0,Battery-Based,0.87,282032.0,470054.0
Blue Gate_16750W_4827,Blue Gate,16750.0,96.0,220.0,Battery-Based,0.89,413540.0,689232.0
Blue Gate_13700W_4842,Blue Gate,13700.0,24.0,220.0,Battery-Based,0.92,553135.0,921891.0
Blue Gate_3900W_4916,Blue Gate,3900.0,24.0,220.0,Battery-Based,0.88,112563.0,187605.0
Blue Gate_2600W_4947,Blue Gate,2600.0,96.0,220.0,Battery-Based,0.9,101676.0,169460.0
Blue Gate_13800W_37,Blue Gate,13800.0,48.0,220.0,Grid-Tie,0.91,521039.0,868399.0
Blue Gate_13550W_55,Blue Gate,13550.0,48.0,220.0,Grid-Tie,0.88,550881.0,918135.0
Blue Gate_2550W_64,Blue Gate,2550.0,24.0,220.0,Grid-Tie,0.87,76299.0,127165.0
Blue Gate_13900W_71,Blue Gate,13900.0,12.0,220.0,Grid-Tie,0.91,537762.0,896270.0
Blue Gate_15000W_139,Blue Gate,15000.0,96.0,220.0,Grid-Tie,0.91,337596.0,562660.0
Blue Gate_7850W_208,Blue Gate,7850.0,240.0,220.0,Grid-Tie,0.88,338614.0,564358.0
Blue Gate_16750W_275,Blue Gate,16750.0,24.0,220.0,Grid-Tie,0.89,738250.0,1230416.0
Blue Gate_2800W_286,Blue Gate,2800.0,12.0,220.0,Grid-Tie,0.9,81057.0,135095.0
Blue Gate_6900W_295,Blue Gate,6900.0,24.0,220.0,Grid-Tie,0.9,172149.0,286915.0
Blue Gate_16650W_357,Blue Gate,16650.0,240.0,220.0,Grid-Tie,0.9,451445.0,752409.0
Blue Gate_2150W_389,Blue Gate,2150.0,96.0,220.0,Grid-Tie,0.9,67267.0,112111.0
Blue Gate_8000W_429,Blue Gate,8000.0,48.0,220.0,Grid-Tie,0.88,351275.0,585459.0
Blue Gate_5600W_449,Blue Gate,5600.0,24.0,220.0,Grid-Tie,0.88,194116.0,323528.0
Blue Gate_5550W_450,Blue Gate,5550.0,12.0,220.0,Grid-Tie,0.88,146831.0,244719.0
Blue Gate_2450W_464,Blue Gate,2450.0,24.0,220.0,Grid-Tie,0.89,85126.0,141876.0
Blue Gate_19100W_473,Blue Gate,19100.0,48.0,220.0,Grid-Tie,0.87,449345.0,748909.0
Blue Gate_9300W_552,Blue Gate,9300.0,96.0,220.0,Grid-Tie,0.9,343350.0,572250.0
Blue Gate_7100W_565,Blue Gate,7100.0,96.0,220.0,Grid-Tie,0.87,314882.0,524804.0
Blue Gate_2600W_602,Blue Gate,2600.0,96.0,220.0,Grid-Tie,0.87,97103.0,161839.0
Blue Gate_2750W_622,Blue Gate,2750.0,24.0,220.0,Grid-Tie,0.89,113984.0,189972.0
Blue Gate_8900W_646,Blue Gate,8900.0,24.0,220.0,Grid-Tie,0.87,284975.0,474959.0
Blue Gate_19300W_788,Blue Gate,19300.0,12.0,220.0,Grid-Tie,0.91,637623.0,1062705.0
Blue Gate_6550W_812,Blue Gate,6550.0,240.0,220.0,Grid-Tie,0.91,149636.0,249392.0
Blue Gate_9100W_898,Blue Gate,9100.0,48.0,220.0,Grid-Tie,0.9,288521.0,480869.0
Blue Gate_3350W_990,Blue Gate,3350.0,12.0,220.0,Grid-Tie,0.87,138123.0,230205.0
Blue Gate_15850W_994,Blue Gate,15850.0,96.0,220.0,Grid-Tie,0.92,511190.0,851982.0
Blue Gate_11400W_1133,Blue Gate,11400.0,240.0,220.0,Grid-Tie,0.92,458816.0,764692.0
Blue Gate_19000W_1205,Blue Gate,19000.0,240.0,220.0,Grid-Tie,0.91,741758.0,1236264.0
Blue Gate_13850W_1215,Blue Gate,13850.0,24.0,220.0,Grid-Tie,0.9,467944.0,779908.0
Blue Gate_11050W_1222,Blue Gate,11050.0,96.0,220.0,Grid-Tie,0.89,413447.0,689079.0
Blue Gate_19600W_1308,Blue Gate,19600.0,48.0,220.0,Grid-Tie,0.89,549236.0,915392.0
Blue Gate_4850W_1311,Blue Gate,4850.0,96.0,220.0,Grid-Tie,0.89,141218.0,235362.0
Blue Gate_2400W_1344,Blue Gate,2400.0,240.0,220.0,Grid-Tie,0.87,59728.0,99546.0
Blue Gate_11700W_1354,Blue Gate,11700.0,96.0,220.0,Grid-Tie,0.92,430025.0,716709.0
Blue Gate_12050W_1369,Blue Gate,12050.0,48.0,220.0,Grid-Tie,0.89,298576.0,497626.0
Blue Gate_19600W_1456,Blue Gate,19600.0,240.0,220.0,Grid-Tie,0.87,740600.0,1234332.0
Blue Gate_3100W_1494,Blue Gate,3100.0,24.0,220.0,Grid-Tie,0.87,121612.0,202688.0
Blue Gate_18350W_1498,Blue Gate,18350.0,96.0,220.0,Grid-Tie,0.88,513384.0,855640.0
Blue Gate_12650W_1616,Blue Gate,12650.0,48.0,220.0,Grid-Tie,0.89,339500.0,565832.0
Blue Gate_17500W_1685,Blue Gate,17500.0,12.0,220.0,Grid-Tie,0.91,760992.0,1268320.0
Blue Gate_6550W_1711,Blue Gate,6550.0,12.0,220.0,Grid-Tie,0.88,200241.0,333735.0
Blue Gate_7450W_1725,Blue Gate,7450.0,96.0,220.0,Grid-Tie,0.92,203265.0,338775.0
Blue Gate_15600W_1770,Blue Gate,15600.0,240.0,220.0,Grid-Tie,0.89,656408.0,1094014.0
Blue Gate_12550W_1883,Blue Gate,12550.0,12.0,220.0,Grid-Tie,0.89,420685.0,701141.0
Blue Gate_18200W_1921,Blue Gate,18200.0,12.0,220.0,Grid-Tie,0.88,818868.0,1364780.0
Blue Gate_14950W_1931,Blue Gate,14950.0,240.0,220.0,Grid-Tie,0.87,569123.0,948539.0
Blue Gate_19200W_1953,Blue Gate,19200.0,12.0,220.0,Grid-Tie,0.89,693372.0,1155620.0
Blue Gate_5300W_2038,Blue Gate,5300.0,240.0,220.0,Grid-Tie,0.91,180360.0,300600.0
Blue Gate_16700W_2083,Blue Gate,16700.0,96.0,220.0,Grid-Tie,0.89,514015.0,856691.0
Blue Gate_6800W_2155,Blue Gate,6800.0,24.0,220.0,Grid-Tie,0.87,304501.0,507501.0
Blue Gate_19300W_2157,Blue Gate,19300.0,48.0,220.0,Grid-Tie,0.92,580382.0,967302.0
Blue Gate_15300W_2284,Blue Gate,15300.0,24.0,220.0,Grid-Tie,0.91,481693.0,802821.0
Blue Gate_2350W_2295,Blue Gate,2350.0,24.0,220.0,Grid-Tie,0.9,99228.0,165380.0
Blue Gate_10000W_2343,Blue Gate,10000.0,48.0,220.0,Grid-Tie,0.88,236710.0,394518.0
Blue Gate_6050W_2375,Blue Gate,6050.0,24.0,220.0,Grid-Tie,0.9,240082.0,400138.0
Blue Gate_13800W_2426,Blue Gate,13800.0,48.0,220.0,Grid-Tie,0.87,552614.0,921022.0
Blue Gate_4600W_2518,Blue Gate,4600.0,240.0,220.0,Grid-Tie,0.9,172433.0,287389.0
Blue Gate_8500W_2533,Blue Gate,8500.0,24.0,220.0,Grid-Tie,0.88,297548.0,495914.0
Blue Gate_15400W_2574,Blue Gate,15400.0,24.0,220.0,Grid-Tie,0.9,650673.0,1084455.0
Blue Gate_16300W_2675,Blue Gate,16300.0,12.0,220.0,Grid-Tie,0.89,453297.0,755495.0
Blue Gate_750W_2691,Blue Gate,750.0,12.0,220.0,Grid-Tie,0.89,20390.0,33984.0
Blue Gate_19450W_2734,Blue Gate,19450.0,24.0,220.0,Grid-Tie,0.87,605188.0,1008648.0
Blue Gate_11300W_2735,Blue Gate,11300.0,48.0,220.0,Grid-Tie,0.89,465110.0,775182.0
Blue Gate_11100W_2758,Blue Gate,11100.0,240.0,220.0,Grid-Tie,0.89,420743.0,701239.0
Blue Gate_14300W_2763,Blue Gate,14300.0,48.0,220.0,Grid-Tie,0.87,598513.0,997521.0
Blue Gate_18900W_2822,Blue Gate,18900.0,240.0,220.0,Grid-Tie,0.89,715442.0,1192402.0
Blue Gate_20000W_2918,Blue Gate,20000.0,24.0,220.0,Grid-Tie,0.88,550920.0,918200.0
Blue Gate_3600W_2927,Blue Gate,3600.0,240.0,220.0,Grid-Tie,0.91,96722.0,161204.0
Blue Gate_11050W_2993,Blue Gate,11050.0,48.0,220.0,Grid-Tie,0.91,430670.0,717784.0
Blue Gate_19600W_3056,Blue Gate,19600.0,48.0,220.0,Grid-Tie,0.91,643998.0,1073330.0
Blue Gate_1000W_3062,Blue Gate,1000.0,24.0,220.0,Grid-Tie,0.89,34288.0,57146.0
Blue Gate_14900W_3122,Blue Gate,14900.0,240.0,220.0,Grid-Tie,0.9,607797.0,1012995.0
Blue Gate_10650W_3145,Blue Gate,10650.0,48.0,220.0,Grid-Tie,0.9,460481.0,767469.0
Blue Gate_14850W_3162,Blue Gate,14850.0,24.0,220.0,Grid-Tie,0.88,374191.0,623651.0
Blue Gate_2900W_3188,Blue Gate,2900.0,12.0,220.0,Grid-Tie,0.9,110606.0,184344.0
Blue Gate_12450W_3307,Blue Gate,12450.0,12.0,220.0,Grid-Tie,0.87,524512.0,874188.0
Blue Gate_11050W_3319,Blue Gate,11050.0,48.0,220.0,Grid-Tie,0.88,305387.0,508979.0
Blue Gate_20000W_3370,Blue Gate,20000.0,24.0,220.0,Grid-Tie,0.87,482111.0,803519.0
Blue Gate_1400W_3554,Blue Gate,1400.0,240.0,220.0,Grid-Tie,0.9,54381.0,90635.0
Blue Gate_8450W_3581,Blue Gate,8450.0,48.0,220.0,Grid-Tie,0.91,263930.0,439882.0
Blue Gate_9150W_3586,Blue Gate,9150.0,240.0,220.0,Grid-Tie,0.88,303956.0,506592.0
Blue Gate_6800W_3641,Blue Gate,6800.0,240.0,220.0,Grid-Tie,0.92,232909.0,388181.0
Blue Gate_6800W_3644,Blue Gate,6800.0,48.0,220.0,Grid-Tie,0.88,201410.0,335682.0
Blue Gate_16450W_3676,Blue Gate,16450.0,48.0,220.0,Grid-Tie,0.9,573178.0,955298.0
Blue Gate_11250W_3725,Blue Gate,11250.0,24.0,220.0,Grid-Tie,0.89,317566.0,529276.0
Blue Gate_13650W_3819,Blue Gate,13650.0,96.0,220.0,Grid-Tie,0.88,357851.0,596419.0
Blue Gate_15400W_3903,Blue Gate,15400.0,240.0,220.0,Grid-Tie,0.91,689633.0,1149389.0
Blue Gate_14500W_3914,Blue Gate,14500.0,96.0,220.0,Grid-Tie,0.87,563556.0,939260.0
Blue Gate_4850W_3938,Blue Gate,4850.0,24.0,220.0,Grid-Tie,0.88,195257.0,325429.0
Blue Gate_16500W_3949,Blue Gate,16500.0,12.0,220.0,Grid-Tie,0.92,445827.0,743045.0
Blue Gate_8400W_3963,Blue Gate,8400.0,240.0,220.0,Grid-Tie,0.9,242406.0,404010.0
Blue Gate_4050W_3975,Blue Gate,4050.0,240.0,220.0,Grid-Tie,0.89,167609.0,279349.0
Blue Gate_3550W_4022,Blue Gate,3550.0,24.0,220.0,Grid-Tie,0.91,94930.0,158216.0
Blue Gate_13750W_4107,Blue Gate,13750.0,48.0,220.0,Grid-Tie,0.92,511393.0,852321.0
Blue Gate_13100W_4228,Blue Gate,13100.0,48.0,220.0,Grid-Tie,0.89,475162.0,791938.0
Blue Gate_10300W_4313,Blue Gate,10300.0,48.0,220.0,Grid-Tie,0.9,373894.0,623158.0
Blue Gate_13000W_4356,Blue Gate,13000.0,12.0,220.0,Grid-Tie,0.89,532564.0,887606.0
Blue Gate_1400W_4461,Blue Gate,1400.0,24.0,220.0,Grid-Tie,0.87,33059.0,55099.0
Blue Gate_1150W_4466,Blue Gate,1150.0,240.0,220.0,Grid-Tie,0.88,43786.0,72976.0
Blue Gate_10500W_4520,Blue Gate,10500.0,12.0,220.0,Grid-Tie,0.92,367983.0,613305.0
Blue Gate_9750W_4528,Blue Gate,9750.0,240.0,220.0,Grid-Tie,0.9,240871.0,401451.0
Blue Gate_12400W_4585,Blue Gate,12400.0,12.0,220.0,Grid-Tie,0.91,516010.0,860018.0
Blue Gate_11850W_4648,Blue Gate,11850.0,12.0,220.0,Grid-Tie,0.92,473200.0,788668.0
Blue Gate_19000W_4731,Blue Gate,19000.0,240.0,220.0,Grid-Tie,0.9,786164.0,1310272.0
Blue Gate_10800W_4773,Blue Gate,10800.0,24.0,220.0,Grid-Tie,0.92,301509.0,502515.0
Blue Gate_8150W_4826,Blue Gate,8150.0,24.0,220.0,Grid-Tie,0.89,317281.0,528801.0
Blue Gate_10250W_4863,Blue Gate,10250.0,24.0,220.0,Grid-Tie,0.88,403212.0,672020.0
Blue Gate_17900W_4981,Blue Gate,17900.0,96.0,220.0,Grid-Tie,0.9,663721.0,1106201.0
Blue Gate_2950W_48,Blue Gate,2950.0,240.0,220.0,Hybrid,0.88,118130.0,196884.0
Blue Gate_4450W_61,Blue Gate,4450.0,24.0,220.0,Hybrid,0.88,164342.0,273904.0
Blue Gate_15200W_101,Blue Gate,15200.0,96.0,220.0,Hybrid,0.92,593181.0,988635.0
Blue Gate_700W_103,Blue Gate,700.0,240.0,220.0,Hybrid,0.91,21134.0,35222.0
Blue Gate_15100W_194,Blue Gate,15100.0,240.0,220.0,Hybrid,0.87,598994.0,998324.0
Blue Gate_19550W_243,Blue Gate,19550.0,24.0,220.0,Hybrid,0.87,529390.0,882316.0
Blue Gate_8350W_306,Blue Gate,8350.0,48.0,220.0,Hybrid,0.89,266175.0,443625.0
Blue Gate_10500W_316,Blue Gate,10500.0,24.0,220.0,Hybrid,0.9,369700.0,616166.0
Blue Gate_13900W_401,Blue Gate,13900.0,24.0,220.0,Hybrid,0.9,346647.0,577745.0
Blue Gate_3000W_436,Blue Gate,3000.0,240.0,220.0,Hybrid,0.9,91546.0,152576.0
Blue Gate_2800W_535,Blue Gate,2800.0,48.0,220.0,Hybrid,0.91,102167.0,170279.0
Blue Gate_15850W_603,Blue Gate,15850.0,96.0,220.0,Hybrid,0.9,474118.0,790196.0
Blue Gate_17800W_720,Blue Gate,17800.0,240.0,220.0,Hybrid,0.9,624064.0,1040108.0
Blue Gate_16400W_746,Blue Gate,16400.0,24.0,220.0,Hybrid,0.89,434445.0,724075.0
Blue Gate_8900W_817,Blue Gate,8900.0,48.0,220.0,Hybrid,0.89,319192.0,531988.0
Blue Gate_17750W_886,Blue Gate,17750.0,48.0,220.0,Hybrid,0.87,436784.0,727974.0
Blue Gate_2500W_996,Blue Gate,2500.0,12.0,220.0,Hybrid,0.91,78820.0,131366.0
Blue Gate_5100W_1017,Blue Gate,5100.0,24.0,220.0,Hybrid,0.9,155206.0,258678.0
Blue Gate_18550W_1028,Blue Gate,18550.0,24.0,220.0,Hybrid,0.9,771634.0,1286058.0
Blue Gate_8300W_1109,Blue Gate,8300.0,240.0,220.0,Hybrid,0.87,221044.0,368408.0
Blue Gate_8800W_1135,Blue Gate,8800.0,48.0,220.0,Hybrid,0.91,230153.0,383589.0
Blue Gate_900W_1231,Blue Gate,900.0,96.0,220.0,Hybrid,0.92,32040.0,53400.0
Blue Gate_11650W_1234,Blue Gate,11650.0,96.0,220.0,Hybrid,0.92,271956.0,453260.0
Blue Gate_19950W_1235,Blue Gate,19950.0,96.0,220.0,Hybrid,0.89,695973.0,1159955.0
Blue Gate_12350W_1275,Blue Gate,12350.0,96.0,220.0,Hybrid,0.9,314874.0,524790.0
Blue Gate_17550W_1297,Blue Gate,17550.0,96.0,220.0,Hybrid,0.89,469259.0,782099.0
Blue Gate_12400W_1356,Blue Gate,12400.0,12.0,220.0,Hybrid,0.88,483166.0,805276.0
Blue Gate_7750W_1389,Blue Gate,7750.0,24.0,220.0,Hybrid,0.91,258682.0,431136.0
Blue Gate_19400W_1391,Blue Gate,19400.0,12.0,220.0,Hybrid,0.89,467328.0,778880.0
Blue Gate_14750W_1450,Blue Gate,14750.0,96.0,220.0,Hybrid,0.91,403592.0,672652.0
Blue Gate_13750W_1468,Blue Gate,13750.0,48.0,220.0,Hybrid,0.92,605830.0,1009716.0
Blue Gate_5450W_1477,Blue Gate,5450.0,240.0,220.0,Hybrid,0.88,226022.0,376704.0
Blue Gate_14450W_1534,Blue Gate,14450.0,24.0,220.0,Hybrid,0.88,405906.0,676510.0
Blue Gate_15050W_1583,Blue Gate,15050.0,12.0,220.0,Hybrid,0.88,385925.0,643209.0
Blue Gate_3700W_1595,Blue Gate,3700.0,96.0,220.0,Hybrid,0.89,121359.0,202265.0
Blue Gate_14450W_1645,Blue Gate,14450.0,96.0,220.0,Hybrid,0.9,412904.0,688174.0
Blue Gate_3600W_1671,Blue Gate,3600.0,24.0,220.0,Hybrid,0.89,159242.0,265402.0
Blue Gate_5300W_1781,Blue Gate,5300.0,240.0,220.0,Hybrid,0.89,156713.0,261189.0
Blue Gate_11050W_1887,Blue Gate,11050.0,96.0,220.0,Hybrid,0.91,395832.0,659720.0
Blue Gate_8900W_1957,Blue Gate,8900.0,96.0,220.0,Hybrid,0.87,218971.0,364951.0
Blue Gate_18000W_1978,Blue Gate,18000.0,48.0,220.0,Hybrid,0.91,531938.0,886564.0
Blue Gate_14250W_1993,Blue Gate,14250.0,24.0,220.0,Hybrid,0.89,492842.0,821402.0
