panel_id,brand,panel_type,rated_power_w,voltage,derating_factor,cabling_loss,safety_factor,length_m,width_m,area_m2,price_min,price_max
Auxano Solar_180W_Bifacial_734,Auxano Solar,Bifacial,180.0,36.0,0.81,0.05,0.09,1.52,0.83,1.26,42111.0,70185.0
Auxano Solar_560W_Bifacial_740,Auxano Solar,Bifacial,560.0,36.0,0.82,0.05,0.09,2.02,1.0,2.02,139252.0,232086.0
Auxano Solar_100W_Bifacial_781,Auxano Solar,Bifacial,100.0,24.0,0.79,0.04,0.12,1.27,0.59,0.75,19221.0,32035.0
Auxano Solar_560W_Bifacial_826,Auxano Solar,Bifacial,560.0,48.0,0.79,0.05,0.08,2.01,1.0,2.01,97610.0,162682.0
Auxano Solar_60W_Bifacial_869,Auxano Solar,Bifacial,60.0,36.0,0.78,0.06,0.09,1.22,0.57,0.7,15416.0,25692.0
Auxano Solar_370W_Bifacial_896,Auxano Solar,Bifacial,370.0,48.0,0.78,0.05,0.11,1.84,1.0,1.84,62944.0,104906.0
Auxano Solar_550W_Bifacial_958,Auxano Solar,Bifacial,550.0,24.0,0.78,0.06,0.09,2.01,1.0,2.01,93780.0,156300.0
Auxano Solar_410W_Bifacial_964,Auxano Solar,Bifacial,410.0,36.0,0.81,0.05,0.12,1.94,1.0,1.94,100568.0,167612.0
Auxano Solar_460W_Bifacial_1099,Auxano Solar,Bifacial,460.0,12.0,0.81,0.05,0.11,2.02,1.0,2.02,104020.0,173368.0
Auxano Solar_460W_Bifacial_1114,Auxano Solar,Bifacial,460.0,36.0,0.81,0.04,0.09,2.01,1.0,2.01,83275.0,138791.0
Auxano Solar_370W_Bifacial_1184,Auxano Solar,Bifacial,370.0,48.0,0.8,0.05,0.11,1.75,1.0,1.75,96782.0,161302.0
Auxano Solar_360W_Bifacial_1305,Auxano Solar,Bifacial,360.0,12.0,0.79,0.04,0.09,1.75,1.0,1.75,68952.0,114920.0
Auxano Solar_380W_Bifacial_1308,Auxano Solar,Bifacial,380.0,24.0,0.82,0.04,0.08,1.91,0.99,1.89,77946.0,129910.0
Auxano Solar_540W_Bifacial_1339,Auxano Solar,Bifacial,540.0,12.0,0.8,0.04,0.1,2.02,1.0,2.02,117530.0,195882.0
Auxano Solar_520W_Bifacial_1362,Auxano Solar,Bifacial,520.0,48.0,0.78,0.04,0.11,2.04,1.0,2.04,111882.0,186470.0
Auxano Solar_100W_Bifacial_1433,Auxano Solar,Bifacial,100.0,36.0,0.82,0.05,0.09,1.04,0.63,0.66,20391.0,33985.0
Auxano Solar_470W_Bifacial_1525,Auxano Solar,Bifacial,470.0,12.0,0.8,0.04,0.1,2.01,1.0,2.01,98976.0,164960.0
Auxano Solar_210W_Bifacial_1547,Auxano Solar,Bifacial,210.0,48.0,0.81,0.06,0.08,1.6,0.89,1.42,47975.0,79959.0
Auxano Solar_490W_Bifacial_1616,Auxano Solar,Bifacial,490.0,36.0,0.82,0.04,0.1,2.02,1.0,2.02,111913.0,186521.0
Auxano Solar_370W_Bifacial_1652,Auxano Solar,Bifacial,370.0,36.0,0.78,0.05,0.12,1.73,1.0,1.73,77206.0,128678.0
Auxano Solar_50W_Bifacial_1733,Auxano Solar,Bifacial,50.0,48.0,0.82,0.05,0.1,1.26,0.52,0.66,11806.0,19676.0
Auxano Solar_460W_Bifacial_1831,Auxano Solar,Bifacial,460.0,12.0,0.79,0.06,0.12,2.04,1.0,2.04,92793.0,154655.0
Auxano Solar_480W_Bifacial_1871,Auxano Solar,Bifacial,480.0,48.0,0.82,0.06,0.08,2.0,1.0,2.0,110691.0,184485.0
Auxano Solar_90W_Bifacial_1981,Auxano Solar,Bifacial,90.0,24.0,0.8,0.05,0.1,1.22,0.52,0.63,22607.0,37679.0
Auxano Solar_310W_Bifacial_2015,Auxano Solar,Bifacial,310.0,48.0,0.82,0.05,0.11,1.65,0.92,1.52,53386.0,88976.0
Auxano Solar_250W_Bifacial_2021,Auxano Solar,Bifacial,250.0,48.0,0.8,0.06,0.11,1.52,0.87,1.32,56917.0,94861.0
Auxano Solar_90W_Bifacial_2113,Auxano Solar,Bifacial,90.0,24.0,0.8,0.05,0.09,1.3,0.53,0.69,20498.0,34162.0
Auxano Solar_540W_Bifacial_2131,Auxano Solar,Bifacial,540.0,12.0,0.81,0.06,0.11,2.04,1.0,2.04,131806.0,219676.0
Auxano Solar_210W_Bifacial_2211,Auxano Solar,Bifacial,210.0,12.0,0.8,0.04,0.1,1.54,0.86,1.32,46636.0,77726.0
Auxano Solar_280W_Bifacial_2229,Auxano Solar,Bifacial,280.0,36.0,0.79,0.05,0.09,1.7,0.96,1.63,61113.0,101855.0
Auxano Solar_190W_Bifacial_2318,Auxano Solar,Bifacial,190.0,24.0,0.82,0.06,0.11,1.55,0.93,1.44,45878.0,76462.0
Auxano Solar_290W_Bifacial_2331,Auxano Solar,Bifacial,290.0,12.0,0.79,0.04,0.09,1.62,0.93,1.51,51587.0,85979.0
Auxano Solar_570W_Bifacial_2347,Auxano Solar,Bifacial,570.0,12.0,0.8,0.05,0.1,2.01,1.0,2.01,111366.0,185610.0
Auxano Solar_50W_Bifacial_2364,Auxano Solar,Bifacial,50.0,24.0,0.8,0.06,0.11,1.04,0.64,0.67,13087.0,21811.0
Auxano Solar_570W_Bifacial_2388,Auxano Solar,Bifacial,570.0,36.0,0.78,0.05,0.09,2.04,1.0,2.04,108827.0,181379.0
Auxano Solar_290W_Bifacial_2449,Auxano Solar,Bifacial,290.0,48.0,0.79,0.05,0.12,1.63,0.95,1.55,65534.0,109222.0
Auxano Solar_540W_Bifacial_2472,Auxano Solar,Bifacial,540.0,24.0,0.79,0.06,0.1,2.01,1.0,2.01,97636.0,162726.0
Auxano Solar_400W_Bifacial_2531,Auxano Solar,Bifacial,400.0,24.0,0.81,0.04,0.11,1.71,1.0,1.71,96415.0,160691.0
Auxano Solar_170W_Bifacial_2532,Auxano Solar,Bifacial,170.0,12.0,0.78,0.04,0.1,1.51,0.88,1.33,40176.0,66960.0
Auxano Solar_410W_Bifacial_2559,Auxano Solar,Bifacial,410.0,12.0,0.78,0.05,0.12,1.92,1.0,1.92,85969.0,143281.0
Auxano Solar_500W_Bifacial_2567,Auxano Solar,Bifacial,500.0,12.0,0.8,0.05,0.12,2.01,1.0,2.01,129380.0,215634.0
Auxano Solar_450W_Bifacial_2616,Auxano Solar,Bifacial,450.0,48.0,0.81,0.06,0.12,1.74,0.99,1.72,96004.0,160008.0
Auxano Solar_290W_Bifacial_2743,Auxano Solar,Bifacial,290.0,48.0,0.8,0.05,0.11,1.67,0.91,1.52,62471.0,104119.0
Auxano Solar_570W_Bifacial_2747,Auxano Solar,Bifacial,570.0,12.0,0.79,0.05,0.11,2.03,1.0,2.03,114731.0,191219.0
Auxano Solar_140W_Bifacial_2832,Auxano Solar,Bifacial,140.0,24.0,0.81,0.05,0.09,1.2,0.62,0.74,31226.0,52044.0
Auxano Solar_140W_Bifacial_2850,Auxano Solar,Bifacial,140.0,24.0,0.8,0.06,0.09,1.16,0.68,0.79,24262.0,40436.0
Auxano Solar_70W_Bifacial_2865,Auxano Solar,Bifacial,70.0,24.0,0.81,0.05,0.11,1.25,0.52,0.65,13049.0,21749.0
Auxano Solar_470W_Bifacial_2952,Auxano Solar,Bifacial,470.0,24.0,0.8,0.05,0.11,2.05,1.0,2.05,121488.0,202480.0
Auxano Solar_580W_Bifacial_3045,Auxano Solar,Bifacial,580.0,48.0,0.8,0.05,0.09,2.01,1.0,2.01,128934.0,214890.0
Auxano Solar_180W_Bifacial_3051,Auxano Solar,Bifacial,180.0,12.0,0.78,0.05,0.09,1.57,0.95,1.49,40874.0,68124.0
Auxano Solar_390W_Bifacial_3104,Auxano Solar,Bifacial,390.0,24.0,0.78,0.05,0.11,1.83,0.99,1.81,68431.0,114051.0
Auxano Solar_80W_Bifacial_3164,Auxano Solar,Bifacial,80.0,36.0,0.82,0.04,0.08,1.13,0.68,0.77,19276.0,32128.0
Auxano Solar_100W_Bifacial_3182,Auxano Solar,Bifacial,100.0,36.0,0.8,0.06,0.09,1.16,0.54,0.63,19576.0,32626.0
Auxano Solar_170W_Bifacial_3311,Auxano Solar,Bifacial,170.0,36.0,0.8,0.05,0.1,1.6,0.91,1.46,36488.0,60814.0
Auxano Solar_140W_Bifacial_3326,Auxano Solar,Bifacial,140.0,12.0,0.79,0.05,0.09,1.09,0.61,0.66,25652.0,42754.0
Auxano Solar_100W_Bifacial_3346,Auxano Solar,Bifacial,100.0,48.0,0.8,0.05,0.09,1.08,0.51,0.55,24014.0,40024.0
Auxano Solar_320W_Bifacial_3349,Auxano Solar,Bifacial,320.0,36.0,0.79,0.05,0.11,1.63,0.96,1.56,70837.0,118061.0
Auxano Solar_480W_Bifacial_3355,Auxano Solar,Bifacial,480.0,12.0,0.78,0.05,0.11,2.02,1.0,2.02,99195.0,165325.0
Auxano Solar_460W_Bifacial_3361,Auxano Solar,Bifacial,460.0,24.0,0.8,0.04,0.1,2.04,1.0,2.04,106150.0,176916.0
Auxano Solar_220W_Bifacial_3370,Auxano Solar,Bifacial,220.0,36.0,0.81,0.06,0.12,1.52,0.84,1.28,54295.0,90491.0
Auxano Solar_320W_Bifacial_3382,Auxano Solar,Bifacial,320.0,36.0,0.79,0.04,0.09,1.62,0.98,1.59,77022.0,128370.0
Auxano Solar_580W_Bifacial_3394,Auxano Solar,Bifacial,580.0,24.0,0.8,0.05,0.12,2.05,1.0,2.05,106783.0,177971.0
Auxano Solar_170W_Bifacial_3432,Auxano Solar,Bifacial,170.0,48.0,0.81,0.04,0.08,1.56,0.98,1.53,30278.0,50464.0
Auxano Solar_310W_Bifacial_3461,Auxano Solar,Bifacial,310.0,48.0,0.79,0.06,0.11,1.68,0.96,1.61,54952.0,91588.0
Auxano Solar_130W_Bifacial_3480,Auxano Solar,Bifacial,130.0,12.0,0.81,0.05,0.1,1.21,0.55,0.67,22590.0,37650.0
Auxano Solar_210W_Bifacial_3503,Auxano Solar,Bifacial,210.0,12.0,0.82,0.04,0.11,1.55,0.96,1.49,42809.0,71349.0
Auxano Solar_80W_Bifacial_3533,Auxano Solar,Bifacial,80.0,12.0,0.79,0.05,0.11,1.03,0.55,0.57,16146.0,26910.0
Auxano Solar_180W_Bifacial_3549,Auxano Solar,Bifacial,180.0,36.0,0.78,0.05,0.11,1.57,0.85,1.33,42232.0,70388.0
Auxano Solar_170W_Bifacial_3577,Auxano Solar,Bifacial,170.0,48.0,0.8,0.05,0.11,1.54,0.93,1.43,37154.0,61922.0
Auxano Solar_410W_Bifacial_3605,Auxano Solar,Bifacial,410.0,12.0,0.82,0.04,0.09,1.75,0.99,1.73,88149.0,146915.0
Auxano Solar_320W_Bifacial_3715,Auxano Solar,Bifacial,320.0,48.0,0.8,0.06,0.1,1.61,0.96,1.55,74777.0,124629.0
Auxano Solar_250W_Bifacial_3757,Auxano Solar,Bifacial,250.0,24.0,0.81,0.04,0.09,1.55,0.96,1.49,54165.0,90275.0
Auxano Solar_510W_Bifacial_3777,Auxano Solar,Bifacial,510.0,36.0,0.8,0.04,0.08,2.02,1.0,2.02,114339.0,190565.0
Auxano Solar_520W_Bifacial_3797,Auxano Solar,Bifacial,520.0,12.0,0.79,0.05,0.09,2.05,1.0,2.05,123613.0,206021.0
Auxano Solar_550W_Bifacial_3879,Auxano Solar,Bifacial,550.0,12.0,0.81,0.06,0.12,2.02,1.0,2.02,95796.0,159660.0
Auxano Solar_300W_Bifacial_3969,Auxano Solar,Bifacial,300.0,48.0,0.81,0.06,0.1,1.6,0.94,1.5,70324.0,117208.0
Auxano Solar_190W_Bifacial_4056,Auxano Solar,Bifacial,190.0,24.0,0.81,0.05,0.11,1.51,0.91,1.37,36248.0,60412.0
Auxano Solar_110W_Bifacial_4069,Auxano Solar,Bifacial,110.0,12.0,0.8,0.05,0.1,1.3,0.64,0.83,27123.0,45205.0
Auxano Solar_140W_Bifacial_4113,Auxano Solar,Bifacial,140.0,12.0,0.81,0.06,0.09,1.26,0.56,0.71,31721.0,52869.0
Auxano Solar_400W_Bifacial_4211,Auxano Solar,Bifacial,400.0,24.0,0.82,0.04,0.08,1.8,0.99,1.78,69769.0,116281.0
Auxano Solar_390W_Bifacial_4246,Auxano Solar,Bifacial,390.0,12.0,0.8,0.04,0.1,1.83,0.99,1.81,87500.0,145832.0
Auxano Solar_230W_Bifacial_4267,Auxano Solar,Bifacial,230.0,24.0,0.79,0.04,0.09,1.51,0.85,1.28,51592.0,85986.0
Auxano Solar_590W_Bifacial_4273,Auxano Solar,Bifacial,590.0,12.0,0.8,0.06,0.1,2.05,1.0,2.05,139571.0,232619.0
Auxano Solar_290W_Bifacial_4274,Auxano Solar,Bifacial,290.0,24.0,0.79,0.06,0.11,1.65,0.98,1.62,58610.0,97684.0
Auxano Solar_600W_Bifacial_4324,Auxano Solar,Bifacial,600.0,36.0,0.82,0.04,0.11,2.02,1.0,2.02,151468.0,252446.0
Auxano Solar_230W_Bifacial_4353,Auxano Solar,Bifacial,230.0,48.0,0.82,0.05,0.1,1.52,0.91,1.38,57278.0,95462.0
Auxano Solar_530W_Bifacial_4385,Auxano Solar,Bifacial,530.0,48.0,0.79,0.04,0.09,2.01,1.0,2.01,124327.0,207211.0
Auxano Solar_570W_Bifacial_4392,Auxano Solar,Bifacial,570.0,12.0,0.81,0.05,0.09,2.03,1.0,2.03,118537.0,197561.0
Auxano Solar_520W_Bifacial_4400,Auxano Solar,Bifacial,520.0,48.0,0.8,0.04,0.1,2.01,1.0,2.01,135632.0,226054.0
Auxano Solar_310W_Bifacial_4406,Auxano Solar,Bifacial,310.0,24.0,0.78,0.04,0.08,1.6,0.96,1.54,53974.0,89956.0
Auxano Solar_70W_Bifacial_4453,Auxano Solar,Bifacial,70.0,36.0,0.8,0.06,0.11,1.19,0.59,0.7,12380.0,20634.0
Auxano Solar_600W_Bifacial_4476,Auxano Solar,Bifacial,600.0,36.0,0.81,0.05,0.1,2.01,1.0,2.01,144756.0,241260.0
Auxano Solar_460W_Bifacial_4505,Auxano Solar,Bifacial,460.0,48.0,0.81,0.05,0.1,2.05,1.0,2.05,117734.0,196222.0
Auxano Solar_560W_Bifacial_4514,Auxano Solar,Bifacial,560.0,24.0,0.78,0.06,0.09,2.04,1.0,2.04,95063.0,158439.0
Auxano Solar_380W_Bifacial_4548,Auxano Solar,Bifacial,380.0,24.0,0.79,0.05,0.1,1.7,0.99,1.68,90766.0,151276.0
Auxano Solar_520W_Bifacial_4565,Auxano Solar,Bifacial,520.0,24.0,0.8,0.05,0.11,2.04,1.0,2.04,120765.0,201275.0
Auxano Solar_230W_Bifacial_4633,Auxano Solar,Bifacial,230.0,12.0,0.81,0.05,0.12,1.58,0.94,1.49,42606.0,71010.0
Auxano Solar_330W_Bifacial_4678,Auxano Solar,Bifacial,330.0,12.0,0.82,0.05,0.11,1.64,0.98,1.61,68678.0,114464.0
Auxano Solar_190W_Bifacial_4689,Auxano Solar,Bifacial,190.0,12.0,0.79,0.05,0.12,1.57,0.97,1.52,39595.0,65991.0
Auxano Solar_550W_Bifacial_4762,Auxano Solar,Bifacial,550.0,24.0,0.78,0.05,0.1,2.01,1.0,2.01,127771.0,212951.0
Auxano Solar_100W_Bifacial_4765,Auxano Solar,Bifacial,100.0,24.0,0.81,0.04,0.1,1.07,0.55,0.59,25710.0,42850.0
Auxano Solar_110W_Bifacial_4768,Auxano Solar,Bifacial,110.0,48.0,0.79,0.05,0.09,1.22,0.52,0.63,22890.0,38150.0
Auxano Solar_250W_Bifacial_4798,Auxano Solar,Bifacial,250.0,12.0,0.82,0.06,0.12,1.55,0.82,1.27,61428.0,102380.0
Auxano Solar_510W_Bifacial_4883,Auxano Solar,Bifacial,510.0,24.0,0.79,0.05,0.11,2.04,1.0,2.04,104285.0,173809.0
Auxano Solar_170W_Bifacial_4981,Auxano Solar,Bifacial,170.0,36.0,0.82,0.06,0.09,1.52,0.91,1.38,43726.0,72876.0
Auxano Solar_430W_Bifacial_4986,Auxano Solar,Bifacial,430.0,48.0,0.79,0.05,0.1,1.75,1.0,1.75,95534.0,159224.0
Auxano Solar_80W_Half-Cut_11,Auxano Solar,Half-Cut,80.0,12.0,0.8,0.05,0.12,1.17,0.52,0.61,17741.0,29569.0
Auxano Solar_120W_Half-Cut_57,Auxano Solar,Half-Cut,120.0,12.0,0.79,0.05,0.09,1.04,0.67,0.7,25028.0,41712.0
Auxano Solar_200W_Half-Cut_60,Auxano Solar,Half-Cut,200.0,48.0,0.79,0.04,0.11,1.59,0.99,1.57,51925.0,86541.0
Auxano Solar_280W_Half-Cut_243,Auxano Solar,Half-Cut,280.0,48.0,0.82,0.04,0.11,1.66,0.94,1.56,50126.0,83544.0
Auxano Solar_600W_Half-Cut_260,Auxano Solar,Half-Cut,600.0,48.0,0.79,0.05,0.11,2.02,1.0,2.02,130315.0,217191.0
Auxano Solar_590W_Half-Cut_280,Auxano Solar,Half-Cut,590.0,48.0,0.81,0.04,0.12,2.01,1.0,2.01,132346.0,220578.0
Auxano Solar_360W_Half-Cut_309,Auxano Solar,Half-Cut,360.0,24.0,0.82,0.04,0.11,1.88,0.99,1.86,80760.0,134600.0
Auxano Solar_470W_Half-Cut_315,Auxano Solar,Half-Cut,470.0,36.0,0.8,0.06,0.12,2.03,1.0,2.03,118859.0,198099.0
Auxano Solar_170W_Half-Cut_346,Auxano Solar,Half-Cut,170.0,48.0,0.81,0.05,0.08,1.5,0.92,1.38,36250.0,60418.0
Auxano Solar_200W_Half-Cut_352,Auxano Solar,Half-Cut,200.0,24.0,0.78,0.06,0.09,1.6,0.84,1.34,49976.0,83294.0
Auxano Solar_430W_Half-Cut_371,Auxano Solar,Half-Cut,430.0,24.0,0.82,0.06,0.1,1.74,0.99,1.72,87278.0,145462.0
Auxano Solar_180W_Half-Cut_473,Auxano Solar,Half-Cut,180.0,24.0,0.78,0.05,0.1,1.58,0.99,1.56,32126.0,53544.0
Auxano Solar_270W_Half-Cut_556,Auxano Solar,Half-Cut,270.0,36.0,0.81,0.04,0.11,1.62,0.98,1.59,52719.0,87865.0
Auxano Solar_90W_Half-Cut_559,Auxano Solar,Half-Cut,90.0,12.0,0.81,0.06,0.1,1.07,0.6,0.64,17967.0,29945.0
Auxano Solar_550W_Half-Cut_580,Auxano Solar,Half-Cut,550.0,48.0,0.79,0.05,0.12,2.05,1.0,2.05,121519.0,202531.0
Auxano Solar_370W_Half-Cut_598,Auxano Solar,Half-Cut,370.0,36.0,0.8,0.05,0.09,1.73,1.0,1.73,83778.0,139630.0
Auxano Solar_390W_Half-Cut_814,Auxano Solar,Half-Cut,390.0,36.0,0.79,0.05,0.09,1.81,1.0,1.81,67066.0,111778.0
Auxano Solar_300W_Half-Cut_834,Auxano Solar,Half-Cut,300.0,12.0,0.79,0.05,0.08,1.7,0.93,1.58,70449.0,117415.0
Auxano Solar_120W_Half-Cut_850,Auxano Solar,Half-Cut,120.0,12.0,0.79,0.05,0.08,1.07,0.65,0.7,20264.0,33772.0
Auxano Solar_580W_Half-Cut_883,Auxano Solar,Half-Cut,580.0,48.0,0.8,0.06,0.09,2.01,1.0,2.01,137534.0,229222.0
Auxano Solar_260W_Half-Cut_931,Auxano Solar,Half-Cut,260.0,24.0,0.79,0.06,0.11,1.6,0.92,1.47,59882.0,99804.0
Auxano Solar_370W_Half-Cut_1046,Auxano Solar,Half-Cut,370.0,48.0,0.81,0.06,0.11,1.88,0.99,1.86,77718.0,129530.0
Auxano Solar_80W_Half-Cut_1055,Auxano Solar,Half-Cut,80.0,24.0,0.8,0.05,0.1,1.13,0.68,0.77,17394.0,28990.0
Auxano Solar_150W_Half-Cut_1093,Auxano Solar,Half-Cut,150.0,48.0,0.8,0.04,0.1,1.01,0.56,0.57,33296.0,55494.0
Auxano Solar_290W_Half-Cut_1100,Auxano Solar,Half-Cut,290.0,24.0,0.78,0.06,0.09,1.66,0.96,1.59,57380.0,95632.0
Auxano Solar_540W_Half-Cut_1119,Auxano Solar,Half-Cut,540.0,36.0,0.79,0.06,0.11,2.02,1.0,2.02,126334.0,210558.0
Auxano Solar_360W_Half-Cut_1127,Auxano Solar,Half-Cut,360.0,48.0,0.82,0.05,0.09,1.86,1.0,1.86,88178.0,146964.0
Auxano Solar_140W_Half-Cut_1218,Auxano Solar,Half-Cut,140.0,48.0,0.79,0.04,0.08,1.01,0.51,0.52,23710.0,39518.0
Auxano Solar_50W_Half-Cut_1232,Auxano Solar,Half-Cut,50.0,24.0,0.78,0.05,0.1,1.11,0.65,0.72,9195.0,15325.0
Auxano Solar_330W_Half-Cut_1233,Auxano Solar,Half-Cut,330.0,36.0,0.82,0.05,0.09,1.61,0.92,1.48,58278.0,97130.0
Auxano Solar_560W_Half-Cut_1270,Auxano Solar,Half-Cut,560.0,12.0,0.81,0.04,0.08,2.05,1.0,2.05,99105.0,165175.0
Auxano Solar_580W_Half-Cut_1319,Auxano Solar,Half-Cut,580.0,12.0,0.8,0.06,0.1,2.05,1.0,2.05,113152.0,188588.0
Auxano Solar_300W_Half-Cut_1416,Auxano Solar,Half-Cut,300.0,36.0,0.8,0.04,0.11,1.61,0.98,1.58,55485.0,92475.0
Auxano Solar_240W_Half-Cut_1439,Auxano Solar,Half-Cut,240.0,48.0,0.81,0.05,0.11,1.52,0.92,1.4,43256.0,72092.0
Auxano Solar_350W_Half-Cut_1468,Auxano Solar,Half-Cut,350.0,24.0,0.8,0.04,0.09,1.69,0.9,1.52,75947.0,126579.0
Auxano Solar_590W_Half-Cut_1495,Auxano Solar,Half-Cut,590.0,12.0,0.78,0.05,0.11,2.05,1.0,2.05,126247.0,210411.0
Auxano Solar_140W_Half-Cut_1520,Auxano Solar,Half-Cut,140.0,12.0,0.82,0.04,0.11,1.15,0.57,0.66,29746.0,49576.0
Auxano Solar_500W_Half-Cut_1526,Auxano Solar,Half-Cut,500.0,12.0,0.81,0.05,0.09,2.01,1.0,2.01,117474.0,195790.0
Auxano Solar_50W_Half-Cut_1528,Auxano Solar,Half-Cut,50.0,48.0,0.81,0.04,0.09,1.14,0.54,0.62,9664.0,16106.0
Auxano Solar_320W_Half-Cut_1562,Auxano Solar,Half-Cut,320.0,36.0,0.81,0.04,0.08,1.65,0.97,1.6,81274.0,135456.0
Auxano Solar_410W_Half-Cut_1585,Auxano Solar,Half-Cut,410.0,36.0,0.81,0.05,0.08,1.7,0.99,1.68,98155.0,163591.0
Auxano Solar_580W_Half-Cut_1612,Auxano Solar,Half-Cut,580.0,24.0,0.78,0.05,0.09,2.02,1.0,2.02,134932.0,224886.0
Auxano Solar_550W_Half-Cut_1752,Auxano Solar,Half-Cut,550.0,24.0,0.81,0.05,0.1,2.01,1.0,2.01,137813.0,229689.0
Auxano Solar_90W_Half-Cut_1843,Auxano Solar,Half-Cut,90.0,36.0,0.81,0.06,0.11,1.29,0.53,0.68,17766.0,29610.0
Auxano Solar_390W_Half-Cut_1931,Auxano Solar,Half-Cut,390.0,24.0,0.81,0.05,0.1,1.94,1.0,1.94,75563.0,125939.0
Auxano Solar_560W_Half-Cut_1972,Auxano Solar,Half-Cut,560.0,48.0,0.82,0.06,0.11,2.02,1.0,2.02,124978.0,208296.0
Auxano Solar_340W_Half-Cut_2059,Auxano Solar,Half-Cut,340.0,48.0,0.81,0.05,0.12,1.67,0.94,1.57,72661.0,121101.0
Auxano Solar_600W_Half-Cut_2147,Auxano Solar,Half-Cut,600.0,24.0,0.81,0.05,0.09,2.03,1.0,2.03,147766.0,246276.0
Auxano Solar_210W_Half-Cut_2164,Auxano Solar,Half-Cut,210.0,36.0,0.78,0.04,0.09,1.59,0.99,1.57,46468.0,77446.0
Auxano Solar_190W_Half-Cut_2191,Auxano Solar,Half-Cut,190.0,24.0,0.78,0.05,0.08,1.53,0.97,1.48,37348.0,62246.0
Auxano Solar_260W_Half-Cut_2340,Auxano Solar,Half-Cut,260.0,12.0,0.81,0.04,0.09,1.68,0.91,1.53,60764.0,101274.0
Auxano Solar_530W_Half-Cut_2372,Auxano Solar,Half-Cut,530.0,12.0,0.79,0.06,0.09,2.01,1.0,2.01,92239.0,153731.0
Auxano Solar_110W_Half-Cut_2385,Auxano Solar,Half-Cut,110.0,36.0,0.79,0.06,0.09,1.01,0.69,0.7,22448.0,37412.0
Auxano Solar_260W_Half-Cut_2487,Auxano Solar,Half-Cut,260.0,12.0,0.78,0.06,0.1,1.62,0.99,1.6,44314.0,73858.0
Auxano Solar_300W_Half-Cut_2492,Auxano Solar,Half-Cut,300.0,48.0,0.81,0.06,0.12,1.7,0.92,1.56,64501.0,107501.0
Auxano Solar_370W_Half-Cut_2592,Auxano Solar,Half-Cut,370.0,12.0,0.8,0.05,0.12,1.89,0.99,1.87,89270.0,148782.0
Auxano Solar_480W_Half-Cut_2635,Auxano Solar,Half-Cut,480.0,24.0,0.79,0.05,0.12,2.04,1.0,2.04,89186.0,148644.0
Auxano Solar_250W_Half-Cut_2681,Auxano Solar,Half-Cut,250.0,24.0,0.8,0.05,0.11,1.57,0.98,1.54,44828.0,74712.0
Auxano Solar_570W_Half-Cut_2714,Auxano Solar,Half-Cut,570.0,48.0,0.82,0.06,0.11,2.03,1.0,2.03,97208.0,162014.0
Auxano Solar_440W_Half-Cut_2729,Auxano Solar,Half-Cut,440.0,24.0,0.8,0.05,0.12,1.94,0.99,1.92,106121.0,176869.0
Auxano Solar_390W_Half-Cut_2749,Auxano Solar,Half-Cut,390.0,36.0,0.82,0.04,0.08,1.76,0.99,1.74,102279.0,170465.0
