battery_id,brand,type,capacity_ah,voltage,derating_factor,price_min,price_max
Amaron Quanta_48V_20Ah_1519,Amaron Quanta,AGM,20.0,48.0,0.83,564868.0,941448.0
Amaron Quanta_24V_50Ah_1603,Amaron Quanta,AGM,50.0,24.0,0.83,318426.0,530710.0
Amaron Quanta_24V_30Ah_1754,Amaron Quanta,AGM,30.0,24.0,0.83,632780.0,1054632.0
Amaron Quanta_48V_170Ah_1966,Amaron Quanta,AGM,170.0,48.0,0.84,415028.0,691712.0
Amaron Quanta_24V_250Ah_2004,Amaron Quanta,AGM,250.0,24.0,0.82,415463.0,692439.0
Amaron Quanta_48V_90Ah_2010,Amaron Quanta,AGM,90.0,48.0,0.84,644924.0,1074874.0
Amaron Quanta_24V_230Ah_2051,Amaron Quanta,AGM,230.0,24.0,0.84,315640.0,526068.0
Amaron Quanta_48V_160Ah_2064,Amaron Quanta,AGM,160.0,48.0,0.85,344050.0,573416.0
Amaron Quanta_48V_90Ah_2187,Amaron Quanta,AGM,90.0,48.0,0.83,600806.0,1001344.0
Amaron Quanta_48V_70Ah_2194,Amaron Quanta,AGM,70.0,48.0,0.83,604173.0,1006955.0
Amaron Quanta_48V_120Ah_2252,Amaron Quanta,AGM,120.0,48.0,0.83,564833.0,941389.0
Amaron Quanta_12V_120Ah_2277,Amaron Quanta,AGM,120.0,12.0,0.82,503487.0,839145.0
Amaron Quanta_24V_260Ah_2565,Amaron Quanta,AGM,260.0,24.0,0.82,378887.0,631479.0
Amaron Quanta_48V_50Ah_2681,Amaron Quanta,AGM,50.0,48.0,0.82,304239.0,507065.0
Amaron Quanta_24V_100Ah_2706,Amaron Quanta,AGM,100.0,24.0,0.85,572493.0,954155.0
Amaron Quanta_24V_200Ah_2775,Amaron Quanta,AGM,200.0,24.0,0.84,514114.0,856858.0
Amaron Quanta_24V_190Ah_2852,Amaron Quanta,AGM,190.0,24.0,0.83,365001.0,608335.0
Amaron Quanta_12V_210Ah_2939,Amaron Quanta,AGM,210.0,12.0,0.84,650369.0,1083949.0
Amaron Quanta_12V_110Ah_2954,Amaron Quanta,AGM,110.0,12.0,0.83,506842.0,844738.0
Amaron Quanta_12V_300Ah_3125,Amaron Quanta,AGM,300.0,12.0,0.83,313269.0,522115.0
Amaron Quanta_12V_230Ah_3352,Amaron Quanta,AGM,230.0,12.0,0.84,378896.0,631492.0
Amaron Quanta_24V_170Ah_3531,Amaron Quanta,AGM,170.0,24.0,0.84,555332.0,925552.0
Amaron Quanta_12V_190Ah_3672,Amaron Quanta,AGM,190.0,12.0,0.82,504593.0,840989.0
Amaron Quanta_24V_260Ah_3748,Amaron Quanta,AGM,260.0,24.0,0.83,574726.0,957878.0
Amaron Quanta_12V_20Ah_3947,Amaron Quanta,AGM,20.0,12.0,0.83,639593.0,1065989.0
Amaron Quanta_48V_130Ah_4315,Amaron Quanta,AGM,130.0,48.0,0.82,521190.0,868650.0
Amaron Quanta_48V_260Ah_4484,Amaron Quanta,AGM,260.0,48.0,0.84,533693.0,889489.0
Amaron Quanta_12V_40Ah_4578,Amaron Quanta,AGM,40.0,12.0,0.83,438622.0,731036.0
Amaron Quanta_24V_90Ah_4662,Amaron Quanta,AGM,90.0,24.0,0.83,474391.0,790651.0
Amaron Quanta_48V_280Ah_4724,Amaron Quanta,AGM,280.0,48.0,0.84,600109.0,1000181.0
Amaron Quanta_48V_170Ah_4806,Amaron Quanta,AGM,170.0,48.0,0.83,408848.0,681414.0
Amaron Quanta_12V_280Ah_4827,Amaron Quanta,AGM,280.0,12.0,0.84,582478.0,970796.0
Amaron Quanta_48V_140Ah_4998,Amaron Quanta,AGM,140.0,48.0,0.84,408146.0,680242.0
Amaron Quanta_24V_270Ah_28,Amaron Quanta,Gel,270.0,24.0,0.82,347801.0,579669.0
Amaron Quanta_48V_150Ah_72,Amaron Quanta,Gel,150.0,48.0,0.84,606574.0,1010958.0
Amaron Quanta_24V_40Ah_93,Amaron Quanta,Gel,40.0,24.0,0.84,612318.0,1020530.0
Amaron Quanta_48V_110Ah_157,Amaron Quanta,Gel,110.0,48.0,0.85,567882.0,946470.0
Amaron Quanta_12V_170Ah_200,Amaron Quanta,Gel,170.0,12.0,0.84,549531.0,915885.0
Amaron Quanta_48V_250Ah_300,Amaron Quanta,Gel,250.0,48.0,0.83,637809.0,1063015.0
Amaron Quanta_12V_20Ah_417,Amaron Quanta,Gel,20.0,12.0,0.84,457075.0,761791.0
Amaron Quanta_12V_200Ah_551,Amaron Quanta,Gel,200.0,12.0,0.84,356682.0,594470.0
Amaron Quanta_48V_170Ah_601,Amaron Quanta,Gel,170.0,48.0,0.84,411430.0,685716.0
Amaron Quanta_48V_50Ah_655,Amaron Quanta,Gel,50.0,48.0,0.83,593467.0,989111.0
Amaron Quanta_48V_140Ah_761,Amaron Quanta,Gel,140.0,48.0,0.84,372584.0,620972.0
Amaron Quanta_24V_100Ah_982,Amaron Quanta,Gel,100.0,24.0,0.83,401291.0,668819.0
Amaron Quanta_12V_20Ah_1121,Amaron Quanta,Gel,20.0,12.0,0.85,603416.0,1005694.0
Amaron Quanta_48V_70Ah_1143,Amaron Quanta,Gel,70.0,48.0,0.85,521061.0,868435.0
Amaron Quanta_24V_40Ah_1178,Amaron Quanta,Gel,40.0,24.0,0.83,656845.0,1094741.0
Amaron Quanta_12V_110Ah_1251,Amaron Quanta,Gel,110.0,12.0,0.84,669755.0,1116259.0
Amaron Quanta_24V_60Ah_1301,Amaron Quanta,Gel,60.0,24.0,0.84,316329.0,527215.0
Amaron Quanta_12V_170Ah_1335,Amaron Quanta,Gel,170.0,12.0,0.84,544727.0,907879.0
Amaron Quanta_12V_100Ah_1377,Amaron Quanta,Gel,100.0,12.0,0.84,375222.0,625370.0
Amaron Quanta_48V_240Ah_1502,Amaron Quanta,Gel,240.0,48.0,0.84,668646.0,1114410.0
Amaron Quanta_24V_110Ah_1507,Amaron Quanta,Gel,110.0,24.0,0.82,485685.0,809475.0
Amaron Quanta_12V_90Ah_1724,Amaron Quanta,Gel,90.0,12.0,0.83,548500.0,914166.0
Amaron Quanta_24V_50Ah_1950,Amaron Quanta,Gel,50.0,24.0,0.84,532825.0,888041.0
Amaron Quanta_24V_290Ah_2205,Amaron Quanta,Gel,290.0,24.0,0.85,513021.0,855035.0
Amaron Quanta_24V_100Ah_2302,Amaron Quanta,Gel,100.0,24.0,0.83,353931.0,589885.0
Amaron Quanta_12V_140Ah_2337,Amaron Quanta,Gel,140.0,12.0,0.82,430156.0,716928.0
Amaron Quanta_24V_270Ah_2649,Amaron Quanta,Gel,270.0,24.0,0.83,394556.0,657594.0
Amaron Quanta_48V_190Ah_2765,Amaron Quanta,Gel,190.0,48.0,0.85,344281.0,573801.0
Amaron Quanta_48V_100Ah_2797,Amaron Quanta,Gel,100.0,48.0,0.83,525834.0,876390.0
Amaron Quanta_24V_230Ah_2844,Amaron Quanta,Gel,230.0,24.0,0.83,392234.0,653722.0
Amaron Quanta_12V_180Ah_2897,Amaron Quanta,Gel,180.0,12.0,0.84,551132.0,918554.0
Amaron Quanta_48V_110Ah_2966,Amaron Quanta,Gel,110.0,48.0,0.83,490654.0,817758.0
Amaron Quanta_24V_120Ah_3242,Amaron Quanta,Gel,120.0,24.0,0.83,390791.0,651319.0
Amaron Quanta_24V_280Ah_3428,Amaron Quanta,Gel,280.0,24.0,0.85,461478.0,769130.0
Amaron Quanta_48V_50Ah_3481,Amaron Quanta,Gel,50.0,48.0,0.85,588336.0,980560.0
Amaron Quanta_48V_240Ah_3635,Amaron Quanta,Gel,240.0,48.0,0.82,665463.0,1109105.0
Amaron Quanta_48V_210Ah_3872,Amaron Quanta,Gel,210.0,48.0,0.82,306584.0,510972.0
Amaron Quanta_12V_270Ah_3890,Amaron Quanta,Gel,270.0,12.0,0.85,645917.0,1076529.0
Amaron Quanta_12V_60Ah_4053,Amaron Quanta,Gel,60.0,12.0,0.82,431362.0,718938.0
Amaron Quanta_48V_50Ah_4114,Amaron Quanta,Gel,50.0,48.0,0.83,535954.0,893256.0
Amaron Quanta_12V_80Ah_4162,Amaron Quanta,Gel,80.0,12.0,0.84,321203.0,535339.0
Amaron Quanta_12V_170Ah_4209,Amaron Quanta,Gel,170.0,12.0,0.83,367721.0,612869.0
Amaron Quanta_12V_300Ah_4298,Amaron Quanta,Gel,300.0,12.0,0.84,607674.0,1012790.0
Amaron Quanta_24V_250Ah_4499,Amaron Quanta,Gel,250.0,24.0,0.84,624428.0,1040712.0
Amaron Quanta_24V_70Ah_4907,Amaron Quanta,Gel,70.0,24.0,0.82,456244.0,760406.0
Amaron Quanta_12V_70Ah_4921,Amaron Quanta,Gel,70.0,12.0,0.85,434888.0,724812.0
Amaron Quanta_48V_160Ah_100,Amaron Quanta,LiFePO4,160.0,48.0,0.84,388916.0,648194.0
Amaron Quanta_12V_90Ah_110,Amaron Quanta,LiFePO4,90.0,12.0,0.83,346149.0,576915.0
Amaron Quanta_48V_210Ah_182,Amaron Quanta,LiFePO4,210.0,48.0,0.83,601666.0,1002778.0
Amaron Quanta_12V_210Ah_199,Amaron Quanta,LiFePO4,210.0,12.0,0.84,314034.0,523390.0
Amaron Quanta_24V_60Ah_260,Amaron Quanta,LiFePO4,60.0,24.0,0.83,500213.0,833689.0
Amaron Quanta_48V_180Ah_301,Amaron Quanta,LiFePO4,180.0,48.0,0.83,393838.0,656396.0
Amaron Quanta_12V_70Ah_351,Amaron Quanta,LiFePO4,70.0,12.0,0.83,671574.0,1119290.0
Amaron Quanta_48V_240Ah_397,Amaron Quanta,LiFePO4,240.0,48.0,0.82,474133.0,790221.0
Amaron Quanta_24V_220Ah_478,Amaron Quanta,LiFePO4,220.0,24.0,0.82,332262.0,553770.0
Amaron Quanta_24V_290Ah_540,Amaron Quanta,LiFePO4,290.0,24.0,0.82,430810.0,718016.0
Amaron Quanta_24V_60Ah_694,Amaron Quanta,LiFePO4,60.0,24.0,0.83,611995.0,1019991.0
Amaron Quanta_48V_110Ah_767,Amaron Quanta,LiFePO4,110.0,48.0,0.84,584033.0,973389.0
Amaron Quanta_48V_300Ah_791,Amaron Quanta,LiFePO4,300.0,48.0,0.85,501886.0,836478.0
Amaron Quanta_48V_270Ah_993,Amaron Quanta,LiFePO4,270.0,48.0,0.83,312830.0,521384.0
Amaron Quanta_48V_110Ah_1066,Amaron Quanta,LiFePO4,110.0,48.0,0.82,403561.0,672601.0
Amaron Quanta_48V_50Ah_1091,Amaron Quanta,LiFePO4,50.0,48.0,0.82,610283.0,1017139.0
Amaron Quanta_48V_210Ah_1238,Amaron Quanta,LiFePO4,210.0,48.0,0.83,602880.0,1004800.0
Amaron Quanta_48V_300Ah_1385,Amaron Quanta,LiFePO4,300.0,48.0,0.83,461889.0,769815.0
Amaron Quanta_24V_130Ah_1390,Amaron Quanta,LiFePO4,130.0,24.0,0.84,386965.0,644941.0
Amaron Quanta_48V_290Ah_1469,Amaron Quanta,LiFePO4,290.0,48.0,0.85,584531.0,974219.0
Amaron Quanta_24V_200Ah_1662,Amaron Quanta,LiFePO4,200.0,24.0,0.82,645298.0,1075496.0
Amaron Quanta_48V_40Ah_1708,Amaron Quanta,LiFePO4,40.0,48.0,0.83,405301.0,675501.0
Amaron Quanta_24V_250Ah_1730,Amaron Quanta,LiFePO4,250.0,24.0,0.83,427844.0,713074.0
Amaron Quanta_12V_300Ah_1782,Amaron Quanta,LiFePO4,300.0,12.0,0.82,444755.0,741259.0
Amaron Quanta_24V_140Ah_1901,Amaron Quanta,LiFePO4,140.0,24.0,0.83,590111.0,983519.0
Amaron Quanta_48V_120Ah_2264,Amaron Quanta,LiFePO4,120.0,48.0,0.85,581906.0,969844.0
Amaron Quanta_48V_90Ah_2270,Amaron Quanta,LiFePO4,90.0,48.0,0.82,367846.0,613078.0
Amaron Quanta_24V_220Ah_2351,Amaron Quanta,LiFePO4,220.0,24.0,0.82,521273.0,868789.0
Amaron Quanta_24V_280Ah_2385,Amaron Quanta,LiFePO4,280.0,24.0,0.82,392186.0,653644.0
Amaron Quanta_24V_30Ah_2527,Amaron Quanta,LiFePO4,30.0,24.0,0.83,442530.0,737550.0
Amaron Quanta_12V_100Ah_2688,Amaron Quanta,LiFePO4,100.0,12.0,0.84,439613.0,732689.0
Amaron Quanta_24V_300Ah_3058,Amaron Quanta,LiFePO4,300.0,24.0,0.85,302030.0,503384.0
Amaron Quanta_24V_230Ah_3099,Amaron Quanta,LiFePO4,230.0,24.0,0.85,564881.0,941469.0
Amaron Quanta_48V_280Ah_3183,Amaron Quanta,LiFePO4,280.0,48.0,0.84,342765.0,571275.0
Amaron Quanta_24V_140Ah_3236,Amaron Quanta,LiFePO4,140.0,24.0,0.84,674016.0,1123360.0
Amaron Quanta_24V_240Ah_3884,Amaron Quanta,LiFePO4,240.0,24.0,0.84,539954.0,899924.0
Amaron Quanta_24V_40Ah_3930,Amaron Quanta,LiFePO4,40.0,24.0,0.83,609899.0,1016499.0
Amaron Quanta_48V_50Ah_4264,Amaron Quanta,LiFePO4,50.0,48.0,0.84,301697.0,502829.0
Amaron Quanta_12V_170Ah_4319,Amaron Quanta,LiFePO4,170.0,12.0,0.82,355082.0,591804.0
Amaron Quanta_48V_110Ah_4332,Amaron Quanta,LiFePO4,110.0,48.0,0.85,536849.0,894749.0
Amaron Quanta_12V_200Ah_4631,Amaron Quanta,LiFePO4,200.0,12.0,0.83,607899.0,1013165.0
Amaron Quanta_12V_210Ah_4908,Amaron Quanta,LiFePO4,210.0,12.0,0.84,395744.0,659572.0
Amaron Quanta_48V_300Ah_4964,Amaron Quanta,LiFePO4,300.0,48.0,0.85,315081.0,525135.0
Amaron Quanta_12V_100Ah_4986,Amaron Quanta,LiFePO4,100.0,12.0,0.84,586429.0,977381.0
Amaron Quanta_12V_60Ah_7,Amaron Quanta,Tubular,60.0,12.0,0.84,583107.0,971845.0
Amaron Quanta_24V_60Ah_47,Amaron Quanta,Tubular,60.0,24.0,0.83,489226.0,815378.0
Amaron Quanta_24V_20Ah_98,Amaron Quanta,Tubular,20.0,24.0,0.82,600845.0,1001409.0
Amaron Quanta_24V_240Ah_104,Amaron Quanta,Tubular,240.0,24.0,0.84,651868.0,1086446.0
Amaron Quanta_48V_230Ah_140,Amaron Quanta,Tubular,230.0,48.0,0.84,339778.0,566298.0
Amaron Quanta_48V_40Ah_147,Amaron Quanta,Tubular,40.0,48.0,0.82,376740.0,627900.0
Amaron Quanta_24V_190Ah_308,Amaron Quanta,Tubular,190.0,24.0,0.85,341308.0,568846.0
Amaron Quanta_24V_100Ah_357,Amaron Quanta,Tubular,100.0,24.0,0.84,471458.0,785764.0
Amaron Quanta_48V_290Ah_498,Amaron Quanta,Tubular,290.0,48.0,0.85,571067.0,951779.0
Amaron Quanta_48V_220Ah_604,Amaron Quanta,Tubular,220.0,48.0,0.85,640071.0,1066785.0
Amaron Quanta_12V_270Ah_811,Amaron Quanta,Tubular,270.0,12.0,0.84,317372.0,528954.0
Amaron Quanta_12V_210Ah_1222,Amaron Quanta,Tubular,210.0,12.0,0.83,572174.0,953624.0
Amaron Quanta_24V_240Ah_1455,Amaron Quanta,Tubular,240.0,24.0,0.83,488330.0,813882.0
Amaron Quanta_24V_230Ah_1533,Amaron Quanta,Tubular,230.0,24.0,0.83,350777.0,584629.0
Amaron Quanta_48V_140Ah_1547,Amaron Quanta,Tubular,140.0,48.0,0.84,674328.0,1123880.0
Amaron Quanta_24V_50Ah_1768,Amaron Quanta,Tubular,50.0,24.0,0.83,333303.0,555505.0
Amaron Quanta_24V_110Ah_1909,Amaron Quanta,Tubular,110.0,24.0,0.84,543853.0,906421.0
Amaron Quanta_48V_280Ah_2043,Amaron Quanta,Tubular,280.0,48.0,0.85,588631.0,981051.0
Amaron Quanta_12V_180Ah_2096,Amaron Quanta,Tubular,180.0,12.0,0.85,654327.0,1090545.0
Amaron Quanta_12V_80Ah_2181,Amaron Quanta,Tubular,80.0,12.0,0.85,458539.0,764231.0
Amaron Quanta_12V_130Ah_2341,Amaron Quanta,Tubular,130.0,12.0,0.84,472334.0,787222.0
Amaron Quanta_48V_30Ah_2354,Amaron Quanta,Tubular,30.0,48.0,0.82,579196.0,965328.0
Amaron Quanta_24V_280Ah_2374,Amaron Quanta,Tubular,280.0,24.0,0.82,339406.0,565676.0
Amaron Quanta_12V_300Ah_2433,Amaron Quanta,Tubular,300.0,12.0,0.82,511761.0,852935.0
Amaron Quanta_12V_60Ah_2476,Amaron Quanta,Tubular,60.0,12.0,0.84,399310.0,665516.0
Amaron Quanta_48V_110Ah_2537,Amaron Quanta,Tubular,110.0,48.0,0.83,655030.0,1091718.0
Amaron Quanta_24V_40Ah_2710,Amaron Quanta,Tubular,40.0,24.0,0.83,388062.0,646770.0
Amaron Quanta_48V_230Ah_2750,Amaron Quanta,Tubular,230.0,48.0,0.83,573732.0,956220.0
Amaron Quanta_48V_60Ah_2888,Amaron Quanta,Tubular,60.0,48.0,0.84,673039.0,1121731.0
Amaron Quanta_12V_160Ah_2928,Amaron Quanta,Tubular,160.0,12.0,0.84,623181.0,1038635.0
Amaron Quanta_48V_120Ah_3023,Amaron Quanta,Tubular,120.0,48.0,0.83,396294.0,660490.0
Amaron Quanta_48V_80Ah_3057,Amaron Quanta,Tubular,80.0,48.0,0.84,472801.0,788001.0
Amaron Quanta_12V_290Ah_3130,Amaron Quanta,Tubular,290.0,12.0,0.84,613553.0,1022589.0
Amaron Quanta_24V_90Ah_3251,Amaron Quanta,Tubular,90.0,24.0,0.83,472986.0,788310.0
Amaron Quanta_12V_90Ah_3254,Amaron Quanta,Tubular,90.0,12.0,0.84,389297.0,648829.0
Amaron Quanta_12V_80Ah_3343,Amaron Quanta,Tubular,80.0,12.0,0.84,385045.0,641741.0
Amaron Quanta_48V_80Ah_3451,Amaron Quanta,Tubular,80.0,48.0,0.85,450073.0,750121.0
Amaron Quanta_12V_20Ah_3560,Amaron Quanta,Tubular,20.0,12.0,0.82,591758.0,986264.0
Amaron Quanta_48V_180Ah_3638,Amaron Quanta,Tubular,180.0,48.0,0.82,445334.0,742222.0
Amaron Quanta_12V_60Ah_3661,Amaron Quanta,Tubular,60.0,12.0,0.82,397194.0,661990.0
Amaron Quanta_48V_210Ah_3717,Amaron Quanta,Tubular,210.0,48.0,0.85,624367.0,1040611.0
Amaron Quanta_12V_100Ah_3799,Amaron Quanta,Tubular,100.0,12.0,0.83,549940.0,916566.0
Amaron Quanta_48V_260Ah_3846,Amaron Quanta,Tubular,260.0,48.0,0.85,310502.0,517504.0
Amaron Quanta_24V_210Ah_3953,Amaron Quanta,Tubular,210.0,24.0,0.82,359862.0,599770.0
Amaron Quanta_12V_290Ah_3963,Amaron Quanta,Tubular,290.0,12.0,0.83,668636.0,1114392.0
Amaron Quanta_48V_170Ah_4269,Amaron Quanta,Tubular,170.0,48.0,0.83,537728.0,896212.0
Amaron Quanta_24V_40Ah_4306,Amaron Quanta,Tubular,40.0,24.0,0.82,350691.0,584485.0
Amaron Quanta_48V_160Ah_4506,Amaron Quanta,Tubular,160.0,48.0,0.84,595144.0,991906.0
Amaron Quanta_12V_190Ah_4538,Amaron Quanta,Tubular,190.0,12.0,0.84,656667.0,1094445.0
Amaron Quanta_48V_190Ah_4688,Amaron Quanta,Tubular,190.0,48.0,0.83,508004.0,846672.0
Amaron Quanta_48V_230Ah_4933,Amaron Quanta,Tubular,230.0,48.0,0.83,633772.0,1056288.0
Blue Carbon_48V_20Ah_15,Blue Carbon,AGM,20.0,48.0,0.83,87489.0,145815.0
Blue Carbon_24V_270Ah_38,Blue Carbon,AGM,270.0,24.0,0.83,97805.0,163009.0
Blue Carbon_48V_100Ah_68,Blue Carbon,AGM,100.0,48.0,0.84,85556.0,142592.0
Blue Carbon_24V_20Ah_73,Blue Carbon,AGM,20.0,24.0,0.84,78426.0,130710.0
Blue Carbon_12V_240Ah_113,Blue Carbon,AGM,240.0,12.0,0.84,81412.0,135686.0
Blue Carbon_48V_200Ah_130,Blue Carbon,AGM,200.0,48.0,0.83,42428.0,70714.0
Blue Carbon_24V_250Ah_169,Blue Carbon,AGM,250.0,24.0,0.83,76290.0,127150.0
Blue Carbon_48V_50Ah_227,Blue Carbon,AGM,50.0,48.0,0.83,42026.0,70044.0
Blue Carbon_24V_230Ah_299,Blue Carbon,AGM,230.0,24.0,0.83,64116.0,106860.0
Blue Carbon_48V_200Ah_317,Blue Carbon,AGM,200.0,48.0,0.83,100425.0,167375.0
Blue Carbon_48V_150Ah_320,Blue Carbon,AGM,150.0,48.0,0.83,39752.0,66252.0
Blue Carbon_24V_250Ah_374,Blue Carbon,AGM,250.0,24.0,0.85,76335.0,127225.0
Blue Carbon_12V_80Ah_410,Blue Carbon,AGM,80.0,12.0,0.83,91804.0,153008.0
Blue Carbon_24V_120Ah_416,Blue Carbon,AGM,120.0,24.0,0.83,104977.0,174961.0
Blue Carbon_12V_30Ah_438,Blue Carbon,AGM,30.0,12.0,0.84,69056.0,115094.0
Blue Carbon_24V_230Ah_462,Blue Carbon,AGM,230.0,24.0,0.84,101688.0,169480.0
Blue Carbon_24V_140Ah_471,Blue Carbon,AGM,140.0,24.0,0.82,80525.0,134209.0
Blue Carbon_12V_160Ah_500,Blue Carbon,AGM,160.0,12.0,0.84,62432.0,104054.0
Blue Carbon_48V_140Ah_507,Blue Carbon,AGM,140.0,48.0,0.83,56617.0,94361.0
Blue Carbon_12V_180Ah_576,Blue Carbon,AGM,180.0,12.0,0.83,41795.0,69659.0
Blue Carbon_48V_140Ah_603,Blue Carbon,AGM,140.0,48.0,0.83,104513.0,174189.0
Blue Carbon_48V_230Ah_622,Blue Carbon,AGM,230.0,48.0,0.84,88606.0,147676.0
Blue Carbon_48V_210Ah_633,Blue Carbon,AGM,210.0,48.0,0.84,54977.0,91629.0
Blue Carbon_12V_50Ah_741,Blue Carbon,AGM,50.0,12.0,0.85,109948.0,183248.0
Blue Carbon_24V_160Ah_745,Blue Carbon,AGM,160.0,24.0,0.82,111628.0,186048.0
Blue Carbon_24V_120Ah_802,Blue Carbon,AGM,120.0,24.0,0.83,94309.0,157181.0
Blue Carbon_24V_280Ah_863,Blue Carbon,AGM,280.0,24.0,0.83,57020.0,95034.0
Blue Carbon_12V_100Ah_867,Blue Carbon,AGM,100.0,12.0,0.82,53186.0,88642.0
Blue Carbon_24V_230Ah_940,Blue Carbon,AGM,230.0,24.0,0.83,99465.0,165775.0
Blue Carbon_12V_60Ah_949,Blue Carbon,AGM,60.0,12.0,0.83,84172.0,140288.0
Blue Carbon_24V_20Ah_969,Blue Carbon,AGM,20.0,24.0,0.82,103121.0,171869.0
Blue Carbon_12V_250Ah_975,Blue Carbon,AGM,250.0,12.0,0.82,90890.0,151482.0
Blue Carbon_48V_20Ah_986,Blue Carbon,AGM,20.0,48.0,0.82,63586.0,105976.0
Blue Carbon_24V_130Ah_1007,Blue Carbon,AGM,130.0,24.0,0.84,78091.0,130151.0
Blue Carbon_48V_190Ah_1016,Blue Carbon,AGM,190.0,48.0,0.84,47121.0,78535.0
Blue Carbon_24V_290Ah_1029,Blue Carbon,AGM,290.0,24.0,0.84,49295.0,82159.0
Blue Carbon_24V_240Ah_1032,Blue Carbon,AGM,240.0,24.0,0.83,60559.0,100931.0
Blue Carbon_24V_120Ah_1068,Blue Carbon,AGM,120.0,24.0,0.84,58778.0,97964.0
Blue Carbon_48V_30Ah_1095,Blue Carbon,AGM,30.0,48.0,0.83,102669.0,171115.0
Blue Carbon_24V_40Ah_1147,Blue Carbon,AGM,40.0,24.0,0.84,44243.0,73739.0
Blue Carbon_12V_260Ah_1166,Blue Carbon,AGM,260.0,12.0,0.84,87771.0,146285.0
Blue Carbon_12V_110Ah_1202,Blue Carbon,AGM,110.0,12.0,0.82,61282.0,102138.0
Blue Carbon_48V_180Ah_1213,Blue Carbon,AGM,180.0,48.0,0.84,100040.0,166732.0
Blue Carbon_12V_210Ah_1340,Blue Carbon,AGM,210.0,12.0,0.83,108550.0,180918.0
Blue Carbon_48V_150Ah_1367,Blue Carbon,AGM,150.0,48.0,0.83,95938.0,159896.0
Blue Carbon_12V_50Ah_1371,Blue Carbon,AGM,50.0,12.0,0.85,51708.0,86180.0
Blue Carbon_48V_290Ah_1382,Blue Carbon,AGM,290.0,48.0,0.83,102430.0,170718.0
Blue Carbon_24V_90Ah_1395,Blue Carbon,AGM,90.0,24.0,0.84,94182.0,156970.0
Blue Carbon_12V_20Ah_1485,Blue Carbon,AGM,20.0,12.0,0.82,81862.0,136438.0
Blue Carbon_12V_130Ah_1579,Blue Carbon,AGM,130.0,12.0,0.85,112155.0,186925.0
Blue Carbon_48V_130Ah_1590,Blue Carbon,AGM,130.0,48.0,0.83,41564.0,69274.0
Blue Carbon_12V_180Ah_1663,Blue Carbon,AGM,180.0,12.0,0.84,83562.0,139270.0
Blue Carbon_24V_140Ah_1665,Blue Carbon,AGM,140.0,24.0,0.82,103154.0,171924.0
Blue Carbon_48V_240Ah_1749,Blue Carbon,AGM,240.0,48.0,0.84,78490.0,130818.0
Blue Carbon_48V_300Ah_1770,Blue Carbon,AGM,300.0,48.0,0.84,87287.0,145479.0
Blue Carbon_24V_80Ah_1812,Blue Carbon,AGM,80.0,24.0,0.84,81858.0,136430.0
Blue Carbon_48V_210Ah_1831,Blue Carbon,AGM,210.0,48.0,0.84,110675.0,184459.0
Blue Carbon_24V_120Ah_1915,Blue Carbon,AGM,120.0,24.0,0.83,52522.0,87536.0
