controller_id,brand,type,max_voltage_V,max_current_A,derating_factor,price_min,price_max
Anern_MPPT_24V_10A_595,Anern,MPPT,24.0,10.0,0.94,64926.0,108210.0
Anern_MPPT_24V_60A_604,Anern,MPPT,24.0,60.0,0.93,75662.0,126102.0
Anern_MPPT_36V_40A_636,Anern,MPPT,36.0,40.0,0.94,105624.0,176040.0
Anern_MPPT_36V_90A_666,Anern,MPPT,36.0,90.0,0.93,101524.0,169206.0
Anern_MPPT_48V_20A_700,Anern,MPPT,48.0,20.0,0.93,69327.0,115545.0
Anern_MPPT_36V_75A_706,Anern,MPPT,36.0,75.0,0.95,94010.0,156682.0
Anern_MPPT_12V_25A_726,Anern,MPPT,12.0,25.0,0.94,86709.0,144515.0
Anern_MPPT_100V_15A_763,Anern,MPPT,100.0,15.0,0.92,74087.0,123479.0
Anern_MPPT_150V_70A_766,Anern,MPPT,150.0,70.0,0.92,95708.0,159512.0
Anern_MPPT_36V_70A_781,Anern,MPPT,36.0,70.0,0.95,63987.0,106645.0
Anern_MPPT_150V_20A_785,Anern,MPPT,150.0,20.0,0.94,71813.0,119689.0
Anern_MPPT_60V_75A_806,Anern,MPPT,60.0,75.0,0.93,79990.0,133318.0
Anern_MPPT_36V_35A_814,Anern,MPPT,36.0,35.0,0.91,65315.0,108859.0
Anern_MPPT_100V_95A_861,Anern,MPPT,100.0,95.0,0.93,106797.0,177995.0
Anern_MPPT_60V_70A_868,Anern,MPPT,60.0,70.0,0.95,91222.0,152038.0
Anern_MPPT_24V_40A_874,Anern,MPPT,24.0,40.0,0.93,111213.0,185355.0
Anern_MPPT_48V_50A_880,Anern,MPPT,48.0,50.0,0.94,81302.0,135504.0
Anern_MPPT_60V_55A_903,Anern,MPPT,60.0,55.0,0.92,64558.0,107598.0
Anern_MPPT_60V_85A_906,Anern,MPPT,60.0,85.0,0.94,101610.0,169350.0
Anern_MPPT_48V_30A_908,Anern,MPPT,48.0,30.0,0.95,100822.0,168038.0
Anern_MPPT_60V_75A_938,Anern,MPPT,60.0,75.0,0.93,76504.0,127508.0
Anern_MPPT_24V_80A_949,Anern,MPPT,24.0,80.0,0.91,98872.0,164788.0
Anern_MPPT_150V_45A_963,Anern,MPPT,150.0,45.0,0.92,87623.0,146039.0
Anern_MPPT_24V_25A_987,Anern,MPPT,24.0,25.0,0.93,71293.0,118821.0
Anern_MPPT_36V_95A_1035,Anern,MPPT,36.0,95.0,0.95,73689.0,122815.0
Anern_MPPT_60V_30A_1060,Anern,MPPT,60.0,30.0,0.94,97935.0,163225.0
Anern_MPPT_100V_15A_1067,Anern,MPPT,100.0,15.0,0.93,92384.0,153972.0
Anern_MPPT_100V_95A_1120,Anern,MPPT,100.0,95.0,0.94,91285.0,152141.0
Anern_MPPT_12V_75A_1122,Anern,MPPT,12.0,75.0,0.93,96346.0,160578.0
Anern_MPPT_48V_25A_1138,Anern,MPPT,48.0,25.0,0.91,69993.0,116655.0
Anern_MPPT_150V_80A_1142,Anern,MPPT,150.0,80.0,0.94,69902.0,116502.0
Anern_MPPT_150V_75A_1168,Anern,MPPT,150.0,75.0,0.93,92162.0,153602.0
Anern_MPPT_60V_15A_1172,Anern,MPPT,60.0,15.0,0.93,60373.0,100621.0
Anern_MPPT_12V_10A_1183,Anern,MPPT,12.0,10.0,0.95,95102.0,158504.0
Anern_MPPT_150V_75A_1200,Anern,MPPT,150.0,75.0,0.93,94154.0,156922.0
Anern_MPPT_150V_20A_1220,Anern,MPPT,150.0,20.0,0.94,105137.0,175229.0
Anern_MPPT_150V_35A_1231,Anern,MPPT,150.0,35.0,0.94,79394.0,132324.0
Anern_MPPT_150V_30A_1240,Anern,MPPT,150.0,30.0,0.92,60968.0,101612.0
Anern_MPPT_48V_75A_1245,Anern,MPPT,48.0,75.0,0.93,112361.0,187269.0
Anern_MPPT_150V_75A_1249,Anern,MPPT,150.0,75.0,0.93,81142.0,135236.0
Anern_MPPT_48V_95A_1338,Anern,MPPT,48.0,95.0,0.94,98179.0,163631.0
Anern_MPPT_60V_80A_1353,Anern,MPPT,60.0,80.0,0.92,108701.0,181169.0
Anern_MPPT_12V_50A_1389,Anern,MPPT,12.0,50.0,0.93,80630.0,134384.0
Anern_MPPT_36V_100A_1400,Anern,MPPT,36.0,100.0,0.92,106490.0,177482.0
Anern_MPPT_150V_50A_1455,Anern,MPPT,150.0,50.0,0.92,94025.0,156709.0
Anern_MPPT_12V_10A_1495,Anern,MPPT,12.0,10.0,0.93,73724.0,122874.0
Anern_MPPT_150V_65A_1497,Anern,MPPT,150.0,65.0,0.91,88400.0,147332.0
Anern_MPPT_36V_45A_1505,Anern,MPPT,36.0,45.0,0.94,90808.0,151348.0
Anern_MPPT_48V_10A_1539,Anern,MPPT,48.0,10.0,0.92,68538.0,114230.0
Anern_MPPT_12V_45A_1568,Anern,MPPT,12.0,45.0,0.94,74478.0,124130.0
Anern_MPPT_150V_30A_1583,Anern,MPPT,150.0,30.0,0.92,94468.0,157448.0
Anern_MPPT_150V_35A_1595,Anern,MPPT,150.0,35.0,0.93,101420.0,169032.0
Anern_MPPT_150V_50A_1610,Anern,MPPT,150.0,50.0,0.94,98329.0,163881.0
Anern_MPPT_150V_20A_1612,Anern,MPPT,150.0,20.0,0.95,62352.0,103920.0
Anern_MPPT_48V_65A_1635,Anern,MPPT,48.0,65.0,0.92,79217.0,132029.0
Anern_MPPT_12V_15A_1647,Anern,MPPT,12.0,15.0,0.93,104613.0,174355.0
Anern_MPPT_60V_75A_1668,Anern,MPPT,60.0,75.0,0.91,72656.0,121092.0
Anern_MPPT_150V_80A_1673,Anern,MPPT,150.0,80.0,0.93,67071.0,111785.0
Anern_MPPT_150V_70A_1717,Anern,MPPT,150.0,70.0,0.95,79786.0,132978.0
Anern_MPPT_150V_95A_1725,Anern,MPPT,150.0,95.0,0.91,69794.0,116324.0
Anern_MPPT_48V_25A_1732,Anern,MPPT,48.0,25.0,0.93,105993.0,176655.0
Anern_MPPT_150V_40A_1735,Anern,MPPT,150.0,40.0,0.95,92412.0,154020.0
Anern_MPPT_100V_100A_1751,Anern,MPPT,100.0,100.0,0.92,100684.0,167808.0
Anern_MPPT_24V_15A_1753,Anern,MPPT,24.0,15.0,0.94,110113.0,183521.0
Anern_MPPT_12V_90A_1757,Anern,MPPT,12.0,90.0,0.92,108309.0,180515.0
Anern_MPPT_24V_80A_1770,Anern,MPPT,24.0,80.0,0.94,105405.0,175675.0
Anern_MPPT_24V_15A_1793,Anern,MPPT,24.0,15.0,0.95,85138.0,141898.0
Anern_MPPT_60V_10A_1836,Anern,MPPT,60.0,10.0,0.94,97806.0,163010.0
Anern_MPPT_100V_10A_1841,Anern,MPPT,100.0,10.0,0.92,78320.0,130532.0
Anern_MPPT_60V_80A_1879,Anern,MPPT,60.0,80.0,0.93,107933.0,179889.0
Anern_MPPT_36V_90A_1885,Anern,MPPT,36.0,90.0,0.91,60158.0,100264.0
Anern_MPPT_100V_60A_1905,Anern,MPPT,100.0,60.0,0.94,105790.0,176316.0
Anern_MPPT_36V_45A_1940,Anern,MPPT,36.0,45.0,0.91,98949.0,164915.0
Anern_MPPT_150V_75A_1987,Anern,MPPT,150.0,75.0,0.94,71035.0,118391.0
Anern_MPPT_36V_70A_2001,Anern,MPPT,36.0,70.0,0.93,73860.0,123100.0
Anern_MPPT_12V_55A_2031,Anern,MPPT,12.0,55.0,0.93,61204.0,102008.0
Anern_MPPT_12V_50A_2035,Anern,MPPT,12.0,50.0,0.94,80024.0,133372.0
Anern_MPPT_36V_40A_2085,Anern,MPPT,36.0,40.0,0.94,77595.0,129325.0
Anern_MPPT_24V_15A_2086,Anern,MPPT,24.0,15.0,0.92,95575.0,159291.0
Anern_MPPT_48V_95A_2087,Anern,MPPT,48.0,95.0,0.95,101773.0,169621.0
Anern_MPPT_24V_20A_2095,Anern,MPPT,24.0,20.0,0.94,63449.0,105749.0
Anern_MPPT_60V_75A_2105,Anern,MPPT,60.0,75.0,0.92,93116.0,155192.0
Anern_MPPT_48V_60A_2115,Anern,MPPT,48.0,60.0,0.92,96707.0,161179.0
Anern_MPPT_24V_15A_2144,Anern,MPPT,24.0,15.0,0.92,102599.0,170999.0
Anern_MPPT_48V_40A_2218,Anern,MPPT,48.0,40.0,0.93,100570.0,167618.0
Anern_MPPT_100V_55A_2253,Anern,MPPT,100.0,55.0,0.91,100605.0,167675.0
Anern_MPPT_12V_30A_2279,Anern,MPPT,12.0,30.0,0.93,79694.0,132822.0
Anern_MPPT_24V_30A_2280,Anern,MPPT,24.0,30.0,0.92,103090.0,171818.0
Anern_MPPT_60V_50A_2314,Anern,MPPT,60.0,50.0,0.94,96531.0,160885.0
Anern_MPPT_48V_45A_2322,Anern,MPPT,48.0,45.0,0.95,61851.0,103085.0
Anern_MPPT_24V_45A_2357,Anern,MPPT,24.0,45.0,0.93,90082.0,150138.0
Anern_MPPT_24V_10A_2358,Anern,MPPT,24.0,10.0,0.94,87221.0,145369.0
Anern_MPPT_36V_85A_2371,Anern,MPPT,36.0,85.0,0.92,96722.0,161204.0
Anern_MPPT_36V_85A_2394,Anern,MPPT,36.0,85.0,0.94,81424.0,135706.0
Anern_MPPT_12V_100A_2401,Anern,MPPT,12.0,100.0,0.91,95255.0,158759.0
Anern_MPPT_36V_50A_2418,Anern,MPPT,36.0,50.0,0.92,96908.0,161512.0
Anern_MPPT_60V_20A_2481,Anern,MPPT,60.0,20.0,0.91,100411.0,167351.0
Anern_MPPT_12V_95A_2496,Anern,MPPT,12.0,95.0,0.93,110803.0,184671.0
Anern_MPPT_36V_25A_2513,Anern,MPPT,36.0,25.0,0.93,66212.0,110352.0
Anern_MPPT_60V_45A_2574,Anern,MPPT,60.0,45.0,0.94,82947.0,138245.0
Anern_MPPT_24V_75A_2583,Anern,MPPT,24.0,75.0,0.92,83962.0,139936.0
Anern_MPPT_36V_10A_2585,Anern,MPPT,36.0,10.0,0.92,87537.0,145895.0
Anern_MPPT_48V_40A_2610,Anern,MPPT,48.0,40.0,0.94,89815.0,149691.0
Anern_MPPT_12V_60A_2624,Anern,MPPT,12.0,60.0,0.92,85414.0,142356.0
Anern_MPPT_100V_30A_2656,Anern,MPPT,100.0,30.0,0.94,80463.0,134105.0
Anern_MPPT_60V_25A_2683,Anern,MPPT,60.0,25.0,0.95,90265.0,150441.0
Anern_MPPT_150V_10A_2701,Anern,MPPT,150.0,10.0,0.95,92536.0,154226.0
Anern_MPPT_36V_85A_2706,Anern,MPPT,36.0,85.0,0.91,78342.0,130570.0
Anern_MPPT_60V_70A_2713,Anern,MPPT,60.0,70.0,0.93,96221.0,160369.0
Anern_MPPT_24V_40A_2727,Anern,MPPT,24.0,40.0,0.95,74340.0,123900.0
Anern_MPPT_36V_80A_2813,Anern,MPPT,36.0,80.0,0.92,104780.0,174634.0
Anern_MPPT_24V_75A_2826,Anern,MPPT,24.0,75.0,0.94,81237.0,135395.0
Anern_MPPT_48V_25A_2832,Anern,MPPT,48.0,25.0,0.94,68738.0,114562.0
Anern_MPPT_12V_95A_2834,Anern,MPPT,12.0,95.0,0.93,79848.0,133080.0
Anern_MPPT_36V_50A_2850,Anern,MPPT,36.0,50.0,0.94,65844.0,109740.0
Anern_MPPT_12V_15A_2880,Anern,MPPT,12.0,15.0,0.92,64114.0,106858.0
Anern_MPPT_150V_10A_2884,Anern,MPPT,150.0,10.0,0.93,92438.0,154064.0
Anern_MPPT_60V_90A_2907,Anern,MPPT,60.0,90.0,0.92,74944.0,124908.0
Anern_MPPT_60V_40A_2948,Anern,MPPT,60.0,40.0,0.92,87167.0,145279.0
Anern_MPPT_12V_15A_2977,Anern,MPPT,12.0,15.0,0.93,105779.0,176299.0
Anern_MPPT_24V_60A_2991,Anern,MPPT,24.0,60.0,0.93,104360.0,173934.0
Anern_MPPT_100V_85A_3015,Anern,MPPT,100.0,85.0,0.94,69925.0,116541.0
Anern_MPPT_150V_100A_3016,Anern,MPPT,150.0,100.0,0.95,71306.0,118842.0
Anern_MPPT_24V_10A_3044,Anern,MPPT,24.0,10.0,0.91,93541.0,155901.0
Anern_MPPT_48V_15A_3101,Anern,MPPT,48.0,15.0,0.92,62192.0,103654.0
Anern_MPPT_36V_60A_3113,Anern,MPPT,36.0,60.0,0.93,72921.0,121535.0
Anern_MPPT_150V_50A_3144,Anern,MPPT,150.0,50.0,0.92,92204.0,153672.0
Anern_MPPT_100V_20A_3147,Anern,MPPT,100.0,20.0,0.95,81489.0,135815.0
Anern_MPPT_12V_10A_3152,Anern,MPPT,12.0,10.0,0.94,79872.0,133120.0
Anern_MPPT_36V_65A_3162,Anern,MPPT,36.0,65.0,0.93,79921.0,133201.0
Anern_MPPT_60V_65A_3163,Anern,MPPT,60.0,65.0,0.95,70737.0,117895.0
Anern_MPPT_24V_65A_3200,Anern,MPPT,24.0,65.0,0.94,110518.0,184198.0
Anern_MPPT_36V_20A_3219,Anern,MPPT,36.0,20.0,0.95,88117.0,146861.0
Anern_MPPT_36V_20A_3286,Anern,MPPT,36.0,20.0,0.93,104944.0,174906.0
Anern_MPPT_48V_25A_3386,Anern,MPPT,48.0,25.0,0.93,90851.0,151419.0
Anern_MPPT_36V_25A_3396,Anern,MPPT,36.0,25.0,0.91,90446.0,150742.0
Anern_MPPT_12V_30A_3408,Anern,MPPT,12.0,30.0,0.91,84662.0,141104.0
Anern_MPPT_36V_15A_3411,Anern,MPPT,36.0,15.0,0.94,97318.0,162198.0
Anern_MPPT_100V_60A_3431,Anern,MPPT,100.0,60.0,0.92,92126.0,153542.0
Anern_MPPT_100V_15A_3432,Anern,MPPT,100.0,15.0,0.93,87049.0,145081.0
Anern_MPPT_24V_85A_3434,Anern,MPPT,24.0,85.0,0.95,109167.0,181945.0
Anern_MPPT_12V_75A_3445,Anern,MPPT,12.0,75.0,0.92,69297.0,115495.0
Anern_MPPT_36V_50A_3446,Anern,MPPT,36.0,50.0,0.92,79802.0,133004.0
Anern_MPPT_12V_90A_3467,Anern,MPPT,12.0,90.0,0.94,70810.0,118018.0
Anern_MPPT_60V_70A_3472,Anern,MPPT,60.0,70.0,0.94,112234.0,187056.0
Anern_MPPT_12V_80A_3475,Anern,MPPT,12.0,80.0,0.92,103928.0,173212.0
Anern_MPPT_150V_80A_3509,Anern,MPPT,150.0,80.0,0.94,75176.0,125292.0
Anern_MPPT_36V_100A_3522,Anern,MPPT,36.0,100.0,0.95,97553.0,162589.0
Anern_MPPT_60V_35A_3525,Anern,MPPT,60.0,35.0,0.92,68843.0,114739.0
Anern_MPPT_36V_85A_3557,Anern,MPPT,36.0,85.0,0.91,105409.0,175681.0
Anern_MPPT_48V_100A_3586,Anern,MPPT,48.0,100.0,0.93,70772.0,117954.0
Anern_MPPT_24V_35A_3607,Anern,MPPT,24.0,35.0,0.93,85836.0,143060.0
Anern_MPPT_24V_10A_3624,Anern,MPPT,24.0,10.0,0.93,68126.0,113542.0
Anern_MPPT_12V_55A_3654,Anern,MPPT,12.0,55.0,0.94,72338.0,120564.0
Anern_MPPT_24V_25A_3683,Anern,MPPT,24.0,25.0,0.92,60965.0,101609.0
Anern_MPPT_36V_65A_3705,Anern,MPPT,36.0,65.0,0.93,62284.0,103806.0
Anern_MPPT_24V_70A_3712,Anern,MPPT,24.0,70.0,0.92,80381.0,133969.0
Anern_MPPT_48V_40A_3713,Anern,MPPT,48.0,40.0,0.95,99932.0,166554.0
Anern_MPPT_48V_10A_3725,Anern,MPPT,48.0,10.0,0.92,82354.0,137256.0
Anern_MPPT_150V_100A_3752,Anern,MPPT,150.0,100.0,0.91,81088.0,135146.0
Anern_MPPT_48V_55A_3757,Anern,MPPT,48.0,55.0,0.94,81478.0,135796.0
Anern_MPPT_36V_90A_3761,Anern,MPPT,36.0,90.0,0.94,83382.0,138970.0
Anern_MPPT_100V_70A_3801,Anern,MPPT,100.0,70.0,0.92,94644.0,157740.0
Anern_MPPT_48V_10A_3809,Anern,MPPT,48.0,10.0,0.95,67802.0,113002.0
Anern_MPPT_48V_65A_3810,Anern,MPPT,48.0,65.0,0.95,71720.0,119534.0
Anern_MPPT_48V_15A_3817,Anern,MPPT,48.0,15.0,0.92,81365.0,135609.0
Anern_MPPT_24V_70A_3854,Anern,MPPT,24.0,70.0,0.93,94178.0,156964.0
Anern_MPPT_100V_40A_3864,Anern,MPPT,100.0,40.0,0.95,78317.0,130529.0
Anern_MPPT_24V_15A_3869,Anern,MPPT,24.0,15.0,0.95,75197.0,125329.0
Anern_MPPT_100V_80A_3873,Anern,MPPT,100.0,80.0,0.94,67895.0,113159.0
Anern_MPPT_150V_25A_3880,Anern,MPPT,150.0,25.0,0.93,98688.0,164480.0
Anern_MPPT_100V_85A_3942,Anern,MPPT,100.0,85.0,0.93,102040.0,170066.0
Anern_MPPT_100V_70A_3956,Anern,MPPT,100.0,70.0,0.95,65804.0,109672.0
Anern_MPPT_36V_65A_3974,Anern,MPPT,36.0,65.0,0.93,112463.0,187439.0
Anern_MPPT_100V_60A_4005,Anern,MPPT,100.0,60.0,0.91,70729.0,117881.0
Anern_MPPT_150V_90A_4076,Anern,MPPT,150.0,90.0,0.92,65714.0,109522.0
Anern_MPPT_48V_100A_4110,Anern,MPPT,48.0,100.0,0.93,74522.0,124202.0
Anern_MPPT_60V_25A_4116,Anern,MPPT,60.0,25.0,0.93,61480.0,102468.0
Anern_MPPT_24V_45A_4122,Anern,MPPT,24.0,45.0,0.93,81185.0,135309.0
Anern_MPPT_12V_50A_4144,Anern,MPPT,12.0,50.0,0.92,105536.0,175892.0
Anern_MPPT_60V_30A_4157,Anern,MPPT,60.0,30.0,0.94,81756.0,136260.0
Anern_MPPT_48V_55A_4164,Anern,MPPT,48.0,55.0,0.92,103979.0,173299.0
Anern_MPPT_36V_55A_4176,Anern,MPPT,36.0,55.0,0.94,74200.0,123668.0
Anern_MPPT_12V_35A_4236,Anern,MPPT,12.0,35.0,0.92,99249.0,165415.0
Anern_MPPT_60V_95A_4263,Anern,MPPT,60.0,95.0,0.94,62603.0,104339.0
Anern_MPPT_100V_70A_4285,Anern,MPPT,100.0,70.0,0.92,73091.0,121819.0
Anern_MPPT_12V_50A_4295,Anern,MPPT,12.0,50.0,0.93,100846.0,168078.0
Anern_MPPT_24V_80A_4339,Anern,MPPT,24.0,80.0,0.92,75413.0,125689.0
Anern_MPPT_60V_65A_4347,Anern,MPPT,60.0,65.0,0.94,78597.0,130995.0
Anern_MPPT_12V_35A_4355,Anern,MPPT,12.0,35.0,0.92,91222.0,152038.0
Anern_MPPT_24V_95A_4381,Anern,MPPT,24.0,95.0,0.94,63318.0,105530.0
Anern_MPPT_150V_25A_4411,Anern,MPPT,150.0,25.0,0.94,108692.0,181152.0
Anern_MPPT_60V_80A_4435,Anern,MPPT,60.0,80.0,0.92,76020.0,126700.0
Anern_MPPT_12V_50A_4450,Anern,MPPT,12.0,50.0,0.93,76178.0,126964.0
Anern_MPPT_48V_55A_4468,Anern,MPPT,48.0,55.0,0.91,75496.0,125828.0
Anern_MPPT_150V_55A_4484,Anern,MPPT,150.0,55.0,0.94,79882.0,133136.0
Anern_MPPT_36V_70A_4510,Anern,MPPT,36.0,70.0,0.93,97838.0,163064.0
Anern_MPPT_24V_30A_4520,Anern,MPPT,24.0,30.0,0.94,63356.0,105594.0
Anern_MPPT_60V_65A_4537,Anern,MPPT,60.0,65.0,0.95,89383.0,148971.0
Anern_MPPT_100V_75A_4616,Anern,MPPT,100.0,75.0,0.94,85682.0,142802.0
Anern_MPPT_48V_80A_4640,Anern,MPPT,48.0,80.0,0.94,89817.0,149695.0
Anern_MPPT_48V_100A_4665,Anern,MPPT,48.0,100.0,0.94,103489.0,172481.0
Anern_MPPT_150V_25A_4698,Anern,MPPT,150.0,25.0,0.93,71572.0,119286.0
Anern_MPPT_48V_55A_4707,Anern,MPPT,48.0,55.0,0.92,106879.0,178131.0
Anern_MPPT_60V_40A_4725,Anern,MPPT,60.0,40.0,0.95,92607.0,154345.0
Anern_MPPT_48V_55A_4750,Anern,MPPT,48.0,55.0,0.93,69803.0,116339.0
Anern_MPPT_150V_90A_4776,Anern,MPPT,150.0,90.0,0.93,101135.0,168559.0
Anern_MPPT_100V_90A_4784,Anern,MPPT,100.0,90.0,0.93,98825.0,164709.0
Anern_MPPT_24V_65A_4785,Anern,MPPT,24.0,65.0,0.91,64465.0,107441.0
Anern_MPPT_100V_20A_4792,Anern,MPPT,100.0,20.0,0.95,67848.0,113080.0
Anern_MPPT_36V_85A_4815,Anern,MPPT,36.0,85.0,0.93,73298.0,122162.0
Anern_MPPT_100V_55A_4818,Anern,MPPT,100.0,55.0,0.95,77468.0,129112.0
Anern_MPPT_150V_60A_4820,Anern,MPPT,150.0,60.0,0.91,67400.0,112332.0
Anern_MPPT_60V_75A_4859,Anern,MPPT,60.0,75.0,0.92,67166.0,111942.0
Anern_MPPT_100V_20A_4873,Anern,MPPT,100.0,20.0,0.94,87671.0,146119.0
Anern_MPPT_150V_95A_4885,Anern,MPPT,150.0,95.0,0.94,84424.0,140708.0
Anern_MPPT_36V_90A_4895,Anern,MPPT,36.0,90.0,0.94,66869.0,111449.0
Anern_MPPT_100V_40A_4924,Anern,MPPT,100.0,40.0,0.93,97405.0,162341.0
Anern_MPPT_48V_70A_4948,Anern,MPPT,48.0,70.0,0.92,97696.0,162826.0
Anern_MPPT_100V_55A_4972,Anern,MPPT,100.0,55.0,0.92,95017.0,158361.0
Anern_MPPT_12V_100A_4983,Anern,MPPT,12.0,100.0,0.92,87975.0,146625.0
Anern_PWM_24V_100A_57,Anern,PWM,24.0,100.0,0.91,100311.0,167185.0
Anern_PWM_60V_50A_65,Anern,PWM,60.0,50.0,0.95,73612.0,122688.0
Anern_PWM_12V_80A_68,Anern,PWM,12.0,80.0,0.93,66446.0,110744.0
Anern_PWM_48V_30A_75,Anern,PWM,48.0,30.0,0.92,102276.0,170460.0
Anern_PWM_60V_90A_96,Anern,PWM,60.0,90.0,0.91,77044.0,128408.0
Anern_PWM_48V_25A_110,Anern,PWM,48.0,25.0,0.94,61087.0,101811.0
Anern_PWM_48V_55A_123,Anern,PWM,48.0,55.0,0.92,80192.0,133652.0
Anern_PWM_36V_85A_142,Anern,PWM,36.0,85.0,0.94,100681.0,167801.0
Anern_PWM_48V_30A_149,Anern,PWM,48.0,30.0,0.93,61689.0,102815.0
Anern_PWM_36V_25A_158,Anern,PWM,36.0,25.0,0.91,95527.0,159211.0
Anern_PWM_12V_40A_202,Anern,PWM,12.0,40.0,0.92,106653.0,177755.0
Anern_PWM_12V_90A_204,Anern,PWM,12.0,90.0,0.92,73078.0,121796.0
Anern_PWM_60V_75A_229,Anern,PWM,60.0,75.0,0.91,60018.0,100030.0
Anern_PWM_24V_90A_230,Anern,PWM,24.0,90.0,0.93,111763.0,186271.0
Anern_PWM_36V_20A_233,Anern,PWM,36.0,20.0,0.93,88106.0,146842.0
Anern_PWM_60V_55A_239,Anern,PWM,60.0,55.0,0.92,64349.0,107249.0
Anern_PWM_24V_15A_280,Anern,PWM,24.0,15.0,0.91,76103.0,126839.0
Anern_PWM_36V_50A_281,Anern,PWM,36.0,50.0,0.95,101346.0,168910.0
Anern_PWM_60V_70A_330,Anern,PWM,60.0,70.0,0.91,84023.0,140039.0
Anern_PWM_36V_40A_334,Anern,PWM,36.0,40.0,0.95,80000.0,133334.0
Anern_PWM_24V_85A_365,Anern,PWM,24.0,85.0,0.94,70944.0,118240.0
Anern_PWM_36V_15A_456,Anern,PWM,36.0,15.0,0.92,80597.0,134329.0
Anern_PWM_48V_85A_490,Anern,PWM,48.0,85.0,0.95,69625.0,116041.0
Anern_PWM_24V_35A_509,Anern,PWM,24.0,35.0,0.92,61917.0,103195.0
Anern_PWM_48V_50A_518,Anern,PWM,48.0,50.0,0.92,83202.0,138670.0
Anern_PWM_36V_90A_525,Anern,PWM,36.0,90.0,0.92,98297.0,163829.0
Anern_PWM_24V_45A_526,Anern,PWM,24.0,45.0,0.93,101649.0,169415.0
Anern_PWM_60V_45A_527,Anern,PWM,60.0,45.0,0.93,97445.0,162409.0
Anern_PWM_36V_20A_543,Anern,PWM,36.0,20.0,0.91,60776.0,101292.0
Anern_PWM_60V_40A_550,Anern,PWM,60.0,40.0,0.94,67825.0,113041.0
Anern_PWM_60V_80A_571,Anern,PWM,60.0,80.0,0.93,93932.0,156552.0
Anern_PWM_24V_25A_617,Anern,PWM,24.0,25.0,0.94,62306.0,103842.0
Anern_PWM_36V_100A_633,Anern,PWM,36.0,100.0,0.91,96314.0,160524.0
Anern_PWM_60V_60A_690,Anern,PWM,60.0,60.0,0.93,68410.0,114018.0
Anern_PWM_48V_25A_707,Anern,PWM,48.0,25.0,0.92,83613.0,139355.0
Anern_PWM_36V_50A_712,Anern,PWM,36.0,50.0,0.94,77992.0,129986.0
Anern_PWM_24V_45A_744,Anern,PWM,24.0,45.0,0.93,82408.0,137348.0
Anern_PWM_12V_65A_752,Anern,PWM,12.0,65.0,0.94,104757.0,174595.0
Anern_PWM_12V_80A_756,Anern,PWM,12.0,80.0,0.94,88818.0,148030.0
Anern_PWM_12V_75A_808,Anern,PWM,12.0,75.0,0.92,77378.0,128962.0
