"city","latitude","longitude","temp","humidity","wind_speed","cloud","region","population","date","season","avg_sun_hours"
"Agulu","6.12","7.03","304.54","50","2.8","96","Anambra","195775","2024-02-23","dry","2.877446977225614"
"Agulu","6.1","7.06","304.49","50","2.8","95","Anambra","98570","2024-02-23","dry","3.3849714293769755"
"Agulu","6.04","7.21","305.84","47","2.7","88","Anambra","59579","2024-02-23","dry","3.554627853618093"
"Agulu","6.03","7.2","305.8","48","2.74","88","Anambra","60340","2024-02-23","dry","3.224617560992662"
"Agulu","6.13","7.23","306.6","44","2.42","93","Anambra","48859","2024-02-23","dry","3.011241645427106"
"Agulu","6.09","7.24","306.4","45","2.53","90","Anambra","50202","2024-02-23","dry","3.5147963051806297"
"Agulu","6.14","7.07","305.3","48","2.58","96","Anambra","91939","2024-02-23","dry","3.2664897333844745"
"Agulu","6.06","7.08","304.38","50","2.92","93","Anambra","74880","2024-02-23","dry","3.236822736713246"
"Agulu","6.08","7.14","305.89","48","2.68","92","Anambra","56283","2024-02-23","dry","3.4733153377215125"
"Agulu","6.04","7.17","305.98","48","2.76","89","Anambra","59043","2024-02-23","dry","3.0771526211317806"
"Agulu","6.05","7.13","304.9","49","2.82","91","Anambra","55265","2024-02-23","dry","3.044332241664232"
"Agulu","6.1","7.02","304.47","51","2.93","96","Anambra","172910","2024-02-23","dry","2.968704973155479"
"Agulu","6.11","7.08","305.28","49","2.69","95","Anambra","43449","2024-02-23","dry","2.6449387345645268"
"Agulu","6.11","7.1","305.34","48","2.64","94","Anambra","45611","2024-02-23","dry","3.2961898420845537"
"Agulu","6.08","7.19","305.77","47","2.59","91","Anambra","57209","2024-02-23","dry","2.985483458301383"
"Agulu","6.15","7.1","305.46","47","2.47","96","Anambra","67838","2024-02-23","dry","3.3250474812819046"
"Agulu","6.03","7.25","306.28","46","2.69","86","Anambra","57921","2024-02-23","dry","3.0833886100227037"
"Agulu","6.07","7.25","306.24","45","2.58","88","Anambra","52471","2024-02-23","dry","3.580019944787836"
"Agulu","6.12","7.03","298.25","44","0.83","100","Anambra","195775","2024-02-24","dry","3.246557894188346"
"Agulu","6.1","7.06","298.05","46","0.82","100","Anambra","98570","2024-02-24","dry","3.1625093369645283"
"Agulu","6.04","7.21","298.49","52","0.85","100","Anambra","59579","2024-02-24","dry","3.1106061165250996"
"Agulu","6.03","7.2","298.55","53","0.87","100","Anambra","60340","2024-02-24","dry","3.236863739225707"
"Agulu","6.13","7.23","298.85","43","0.61","100","Anambra","48859","2024-02-24","dry","3.1523294754810793"
"Agulu","6.09","7.24","298.69","47","0.71","100","Anambra","50202","2024-02-24","dry","3.218410724723504"
"Agulu","6.14","7.07","298.66","42","0.76","100","Anambra","91939","2024-02-24","dry","3.0235177781582756"
"Agulu","6.06","7.08","297.92","50","0.86","100","Anambra","74880","2024-02-24","dry","2.977274687277361"
"Agulu","6.08","7.14","298.93","48","0.79","100","Anambra","56283","2024-02-24","dry","2.5235208078168414"
"Agulu","6.04","7.17","298.93","52","0.86","100","Anambra","59043","2024-02-24","dry","3.147250580804354"
"Agulu","6.05","7.13","298.11","51","0.85","100","Anambra","55265","2024-02-24","dry","2.7972435785383656"
"Agulu","6.1","7.02","298.32","46","0.85","100","Anambra","172910","2024-02-24","dry","2.8433424721582172"
"Agulu","6.11","7.08","298.66","45","0.79","100","Anambra","43449","2024-02-24","dry","3.0908764136947218"
"Agulu","6.11","7.1","298.58","45","0.77","100","Anambra","45611","2024-02-24","dry","2.5354992032117485"
"Agulu","6.08","7.19","298.45","48","0.76","100","Anambra","57209","2024-02-24","dry","3.1089626934451777"
"Agulu","6.15","7.1","298.58","41","0.71","100","Anambra","67838","2024-02-24","dry","2.9180095012002134"
"Agulu","6.03","7.25","298.66","52","0.86","100","Anambra","57921","2024-02-24","dry","2.9942351870824093"
"Agulu","6.07","7.25","298.51","49","0.75","100","Anambra","52471","2024-02-24","dry","3.1838651790969745"
"Agulu","6.12","7.03","308.18","26","3.25","100","Anambra","195775","2024-02-25","dry","3.13262920254654"
"Agulu","6.1","7.06","307.91","26","3.2","100","Anambra","98570","2024-02-25","dry","3.098985975742333"
"Agulu","6.04","7.21","307.95","28","2.94","100","Anambra","59579","2024-02-25","dry","2.9026611788558214"
"Agulu","6.03","7.2","308.04","28","2.94","100","Anambra","60340","2024-02-25","dry","3.06550609139217"
"Agulu","6.13","7.23","308.34","27","3.08","100","Anambra","48859","2024-02-25","dry","2.9580415610795354"
"Agulu","6.09","7.24","308.13","28","3.0","100","Anambra","50202","2024-02-25","dry","2.765967803035065"
"Agulu","6.14","7.07","308.5","26","3.24","100","Anambra","91939","2024-02-25","dry","2.818691486716649"
"Agulu","6.06","7.08","307.72","27","3.13","100","Anambra","74880","2024-02-25","dry","3.1218077924183913"
"Agulu","6.08","7.14","308.59","27","3.09","100","Anambra","56283","2024-02-25","dry","2.7395095937955145"
"Agulu","6.04","7.17","308.49","28","3.0","100","Anambra","59043","2024-02-25","dry","3.2484966599548644"
"Agulu","6.05","7.13","307.78","28","3.06","100","Anambra","55265","2024-02-25","dry","3.194211724311333"
"Agulu","6.1","7.02","308.26","26","3.24","100","Anambra","172910","2024-02-25","dry","3.0442480563677408"
"Agulu","6.11","7.08","308.47","26","3.19","100","Anambra","43449","2024-02-25","dry","3.2108384209994885"
"Agulu","6.11","7.1","308.34","27","3.17","100","Anambra","45611","2024-02-25","dry","3.128275906760112"
"Agulu","6.08","7.19","307.99","28","3.04","100","Anambra","57209","2024-02-25","dry","2.545155675435669"
"Agulu","6.15","7.1","308.36","26","3.23","100","Anambra","67838","2024-02-25","dry","2.9271484773364334"
"Agulu","6.03","7.25","308.02","29","2.87","100","Anambra","57921","2024-02-25","dry","2.8471655674321377"
"Agulu","6.07","7.25","307.9","28","2.95","100","Anambra","52471","2024-02-25","dry","2.7943294662158076"
"Agulu","6.12","7.03","304.99","42","3.22","79","Anambra","195775","2024-02-26","dry","3.6345694643902684"
"Agulu","6.1","7.06","304.77","42","3.43","79","Anambra","98570","2024-02-26","dry","3.8015363781437594"
"Agulu","6.04","7.21","305.27","41","3.8","78","Anambra","59579","2024-02-26","dry","3.336053501536617"
"Agulu","6.03","7.2","305.31","42","3.96","78","Anambra","60340","2024-02-26","dry","3.0935831848830992"
"Agulu","6.13","7.23","305.8","39","2.6","84","Anambra","48859","2024-02-26","dry","3.5484326941047533"
"Agulu","6.09","7.24","305.59","39","3.07","81","Anambra","50202","2024-02-26","dry","3.221827158764921"
"Agulu","6.14","7.07","305.48","41","2.84","81","Anambra","91939","2024-02-26","dry","3.829315118422929"
"Agulu","6.06","7.08","304.57","43","3.95","78","Anambra","74880","2024-02-26","dry","3.775534843257273"
"Agulu","6.08","7.14","305.69","42","3.49","80","Anambra","56283","2024-02-26","dry","3.46982502245257"
"Agulu","6.04","7.17","305.66","42","3.93","78","Anambra","59043","2024-02-26","dry","3.1035935536455166"
"Agulu","6.05","7.13","304.8","43","3.93","78","Anambra","55265","2024-02-26","dry","3.9245137232002243"
"Agulu","6.1","7.02","304.99","43","3.54","79","Anambra","172910","2024-02-26","dry","3.559324507596639"
"Agulu","6.11","7.08","305.42","42","3.24","80","Anambra","43449","2024-02-26","dry","3.8666095834016163"
"Agulu","6.11","7.1","305.36","41","3.19","80","Anambra","45611","2024-02-26","dry","3.8651403239620103"
"Agulu","6.08","7.19","305.27","41","3.34","80","Anambra","57209","2024-02-26","dry","3.449601570557524"
"Agulu","6.15","7.1","305.45","40","2.63","82","Anambra","67838","2024-02-26","dry","3.2862051199927333"
"Agulu","6.03","7.25","305.49","41","3.79","78","Anambra","57921","2024-02-26","dry","3.441699349992947"
"Agulu","6.07","7.25","305.39","40","3.29","80","Anambra","52471","2024-02-26","dry","3.0779524802435856"
"Agulu","6.12","7.03","302.17","66","1.81","1","Anambra","195775","2024-02-27","dry","6.360192276858136"
"Agulu","6.1","7.06","302.01","66","1.81","1","Anambra","98570","2024-02-27","dry","6.23962744847257"
"Agulu","6.04","7.21","302.66","65","1.73","1","Anambra","59579","2024-02-27","dry","6.06805809070125"
"Agulu","6.03","7.2","302.72","65","1.73","1","Anambra","60340","2024-02-27","dry","5.787098301627465"
"Agulu","6.13","7.23","302.93","65","1.75","1","Anambra","48859","2024-02-27","dry","6.270124324117936"
"Agulu","6.09","7.24","302.83","65","1.72","1","Anambra","50202","2024-02-27","dry","6.306723051943976"
"Agulu","6.14","7.07","302.6","66","1.78","1","Anambra","91939","2024-02-27","dry","6.2772944806448345"
"Agulu","6.06","7.08","301.93","66","1.83","1","Anambra","74880","2024-02-27","dry","5.814342128223289"
"Agulu","6.08","7.14","302.98","66","1.78","1","Anambra","56283","2024-02-27","dry","6.242937724404639"
"Agulu","6.04","7.17","303.05","66","1.76","1","Anambra","59043","2024-02-27","dry","5.7508390921933366"
"Agulu","6.05","7.13","302.18","66","1.79","1","Anambra","55265","2024-02-27","dry","5.28642630061877"
"Agulu","6.1","7.02","302.23","67","1.83","1","Anambra","172910","2024-02-27","dry","6.352053543420733"
"Agulu","6.11","7.08","302.63","66","1.8","1","Anambra","43449","2024-02-27","dry","5.549541755551205"
"Agulu","6.11","7.1","302.56","66","1.79","1","Anambra","45611","2024-02-27","dry","5.400733078005793"
"Agulu","6.08","7.19","302.55","65","1.75","1","Anambra","57209","2024-02-27","dry","5.2223519874916455"
"Agulu","6.15","7.1","302.53","66","1.77","1","Anambra","67838","2024-02-27","dry","5.156465109221479"
"Agulu","6.03","7.25","302.89","65","1.69","1","Anambra","57921","2024-02-27","dry","6.1499470301935295"
"Agulu","6.07","7.25","302.68","65","1.71","1","Anambra","52471","2024-02-27","dry","6.018195133180079"
"Anambra","6.33","6.88","312.24","30","0.97","46","Anambra","21939","2024-02-21","dry","4.591570455190518"
"Anambra","6.34","7.13","311.93","31","1.02","53","Anambra","22843","2024-02-21","dry","4.002665011731581"
"Anambra","6.26","6.92","312.25","30","1.49","51","Anambra","53153","2024-02-21","dry","3.7901628479256924"
"Anambra","6.31","6.91","311.93","30","1.14","47","Anambra","19410","2024-02-21","dry","4.900870159329006"
"Anambra","6.31","6.89","312.29","30","1.11","47","Anambra","19679","2024-02-21","dry","3.868886767683922"
"Anambra","6.27","6.92","312.16","30","1.42","50","Anambra","44037","2024-02-21","dry","4.682026563518201"
"Anambra","6.34","6.85","312.22","31","0.89","46","Anambra","25511","2024-02-21","dry","5.004288571449139"
"Anambra","6.29","6.9","312.33","30","1.25","49","Anambra","20705","2024-02-21","dry","3.960817234685195"
"Anambra","6.29","6.95","302.84","67","1.85","95","Anambra","31778","2024-02-22","dry","2.6301310530364157"
"Anambra","6.33","6.99","302.72","67","1.74","96","Anambra","20924","2024-02-22","dry","2.7740276411394578"
"Anambra","6.38","7.1","302.79","69","1.7","95","Anambra","22676","2024-02-22","dry","2.8442202835875285"
"Anambra","6.33","6.88","302.99","65","1.77","96","Anambra","21939","2024-02-22","dry","3.024211601204506"
"Anambra","6.41","7.04","303.01","68","1.58","97","Anambra","21627","2024-02-22","dry","2.9586843603912296"
"Anambra","6.34","7.13","302.37","70","1.78","95","Anambra","22843","2024-02-22","dry","2.7979926417858594"
"Anambra","6.31","7.04","302.59","68","1.79","96","Anambra","20870","2024-02-22","dry","3.0765511637384457"
"Anambra","6.47","6.93","303.33","64","1.37","99","Anambra","16990","2024-02-22","dry","3.2411776953556526"
"Anambra","6.48","7.04","303.16","67","1.44","98","Anambra","20325","2024-02-22","dry","3.0955600597674064"
"Anambra","6.26","6.92","302.67","66","1.95","95","Anambra","53153","2024-02-22","dry","3.2265169134468894"
"Anambra","6.31","6.91","302.39","66","1.82","96","Anambra","19410","2024-02-22","dry","2.7199402866438676"
"Anambra","6.39","6.94","303.29","65","1.59","97","Anambra","19204","2024-02-22","dry","2.64716713106503"
"Anambra","6.33","6.93","303.01","66","1.75","96","Anambra","18715","2024-02-22","dry","3.0345127355479797"
"Anambra","6.31","6.89","302.96","65","1.83","96","Anambra","19679","2024-02-22","dry","2.7964445539446814"
"Anambra","6.36","6.93","303.1","66","1.67","97","Anambra","18974","2024-02-22","dry","3.0437581313203133"
"Anambra","6.44","6.8","304.18","62","1.45","98","Anambra","27095","2024-02-22","dry","2.9036955806930664"
"Anambra","6.32","6.93","302.89","66","1.78","96","Anambra","18578","2024-02-22","dry","3.200666154631267"
"Anambra","6.36","6.93","303.1","66","1.67","97","Anambra","19112","2024-02-22","dry","3.3356128226324757"
"Anambra","6.35","6.92","303.18","65","1.7","97","Anambra","19224","2024-02-22","dry","2.8285111771113085"
"Anambra","6.34","6.94","303.06","66","1.72","96","Anambra","18959","2024-02-22","dry","2.8792020555491105"
"Anambra","6.42","6.79","304.15","62","1.51","98","Anambra","27436","2024-02-22","dry","2.924430926121299"
"Anambra","6.26","6.98","302.4","68","1.91","95","Anambra","73324","2024-02-22","dry","3.190597830403619"
"Anambra","6.27","6.92","302.57","66","1.92","95","Anambra","44037","2024-02-22","dry","2.8655213826431334"
"Anambra","6.42","7.02","303.11","67","1.54","98","Anambra","20654","2024-02-22","dry","3.2052899761026827"
"Anambra","6.43","6.93","303.52","65","1.48","98","Anambra","17814","2024-02-22","dry","2.8084840245348213"
"Anambra","6.51","6.96","303.43","64","1.3","99","Anambra","16986","2024-02-22","dry","2.5659404585175167"
"Anambra","6.52","7.03","303.28","66","1.35","97","Anambra","17654","2024-02-22","dry","3.1264446921701534"
"Anambra","6.49","6.88","303.9","63","1.3","100","Anambra","19324","2024-02-22","dry","3.0500751056177386"
"Anambra","6.51","6.86","304.07","62","1.27","100","Anambra","22087","2024-02-22","dry","2.531468363681838"
"Anambra","6.34","6.85","303.29","64","1.75","96","Anambra","25511","2024-02-22","dry","2.8043537572961506"
"Anambra","6.33","6.98","302.87","67","1.74","96","Anambra","20346","2024-02-22","dry","2.8827577942688447"
"Anambra","6.39","7.06","302.92","68","1.64","96","Anambra","22339","2024-02-22","dry","3.02165522305022"
"Anambra","6.27","6.96","302.61","67","1.9","95","Anambra","51140","2024-02-22","dry","2.9289567255999267"
"Anambra","6.53","7.0","303.42","65","1.29","98","Anambra","17014","2024-02-22","dry","2.9947698799364373"
"Anambra","6.31","6.94","302.86","66","1.8","96","Anambra","20370","2024-02-22","dry","3.366889294691278"
"Anambra","6.46","7.01","303.21","66","1.43","99","Anambra","19212","2024-02-22","dry","2.7768367360543214"
"Anambra","6.35","6.88","303.16","65","1.71","96","Anambra","21212","2024-02-22","dry","2.9939676449123103"
"Anambra","6.29","6.9","302.92","66","1.88","95","Anambra","20705","2024-02-22","dry","3.200864332265883"
"Anambra","6.41","6.8","304.07","62","1.54","98","Anambra","26721","2024-02-22","dry","2.90518031945195"
"Anambra","6.29","7.05","302.27","69","1.83","95","Anambra","23320","2024-02-22","dry","3.103564130193271"
"Anambra","6.29","6.95","305.95","45","2.57","96","Anambra","31778","2024-02-23","dry","2.675158940354646"
"Anambra","6.33","6.99","306.0","43","2.49","99","Anambra","20924","2024-02-23","dry","3.166565727029559"
"Anambra","6.38","7.1","307.05","37","2.49","100","Anambra","22676","2024-02-23","dry","2.718341554383742"
"Anambra","6.33","6.88","305.94","43","2.89","91","Anambra","21939","2024-02-23","dry","2.8469234145651403"
"Anambra","6.41","7.04","306.76","38","2.62","100","Anambra","21627","2024-02-23","dry","2.7837341227376156"
"Anambra","6.34","7.13","306.85","39","2.34","100","Anambra","22843","2024-02-23","dry","2.8736597974293137"
"Anambra","6.31","7.04","306.22","43","2.33","99","Anambra","20870","2024-02-23","dry","3.157899639788927"
"Anambra","6.47","6.93","306.56","38","2.86","92","Anambra","16990","2024-02-23","dry","2.8348573072987318"
"Anambra","6.48","7.04","306.99","34","2.82","100","Anambra","20325","2024-02-23","dry","2.828033463805586"
"Anambra","6.26","6.92","305.66","46","2.68","96","Anambra","53153","2024-02-23","dry","2.64623416377685"
"Anambra","6.31","6.91","305.4","44","2.76","94","Anambra","19410","2024-02-23","dry","2.9380221273172977"
"Anambra","6.39","6.94","306.48","41","2.75","94","Anambra","19204","2024-02-23","dry","2.8016411957190703"
"Anambra","6.33","6.93","306.11","43","2.7","95","Anambra","18715","2024-02-23","dry","3.308366625600387"
"Anambra","6.31","6.89","305.92","44","2.84","93","Anambra","19679","2024-02-23","dry","3.3825720396878856"
"Anambra","6.36","6.93","306.22","42","2.74","94","Anambra","18974","2024-02-23","dry","3.164320570644271"
"Anambra","6.44","6.8","306.96","41","3.03","80","Anambra","27095","2024-02-23","dry","3.355462756208493"
"Anambra","6.32","6.93","305.97","44","2.69","95","Anambra","18578","2024-02-23","dry","3.370927501027997"
"Anambra","6.36","6.93","306.22","42","2.74","94","Anambra","19112","2024-02-23","dry","3.2442216329801252"
"Anambra","6.35","6.92","306.26","43","2.76","94","Anambra","19224","2024-02-23","dry","2.9446880731282974"
"Anambra","6.34","6.94","306.2","43","2.68","95","Anambra","18959","2024-02-23","dry","3.333997803075207"
"Anambra","6.42","6.79","306.89","41","3.07","80","Anambra","27436","2024-02-23","dry","3.8786726087387664"
"Anambra","6.26","6.98","305.57","47","2.38","98","Anambra","73324","2024-02-23","dry","3.219243704422419"
"Anambra","6.27","6.92","305.58","46","2.68","95","Anambra","44037","2024-02-23","dry","3.0001965799228287"
"Anambra","6.42","7.02","306.7","38","2.66","100","Anambra","20654","2024-02-23","dry","3.1038686287962443"
"Anambra","6.43","6.93","306.71","39","2.82","93","Anambra","17814","2024-02-23","dry","2.831674431305559"
"Anambra","6.51","6.96","306.79","35","2.88","95","Anambra","16986","2024-02-23","dry","3.165291628125093"
"Anambra","6.52","7.03","307.04","33","2.85","100","Anambra","17654","2024-02-23","dry","2.649219561243903"
"Anambra","6.49","6.88","306.98","38","2.91","86","Anambra","19324","2024-02-23","dry","2.894242844161308"
"Anambra","6.51","6.86","307.1","37","2.93","84","Anambra","22087","2024-02-23","dry","3.3007350998189167"
"Anambra","6.34","6.85","306.15","43","2.99","89","Anambra","25511","2024-02-23","dry","3.219926089195237"
"Anambra","6.33","6.98","306.11","43","2.52","98","Anambra","20346","2024-02-23","dry","2.8642114163904604"
"Anambra","6.39","7.06","306.83","38","2.54","100","Anambra","22339","2024-02-23","dry","3.249004790401082"
"Anambra","6.27","6.96","305.73","46","2.49","97","Anambra","51140","2024-02-23","dry","3.114148027709856"
"Anambra","6.53","7.0","306.93","34","2.83","100","Anambra","17014","2024-02-23","dry","2.5435894056406267"
"Anambra","6.31","6.94","305.96","44","2.64","96","Anambra","20370","2024-02-23","dry","2.615415850224328"
"Anambra","6.46","7.01","306.75","37","2.77","100","Anambra","19212","2024-02-23","dry","3.0384730566896834"
"Anambra","6.35","6.88","306.12","43","2.89","91","Anambra","21212","2024-02-23","dry","3.53567689397631"
"Anambra","6.29","6.9","305.88","45","2.79","94","Anambra","20705","2024-02-23","dry","2.984879336413713"
